"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2024","EQ","152.70","157.00","152.70","152.70","156.20","155.85","155.17","159.15","101.65","6,25,75,327","9,71,01,20,664.75","3,29,742"
"27-Mar-2024","EQ","152.45","154.10","152.00","152.40","152.60","152.70","153.04","159.15","101.65","3,53,28,794","5,40,67,35,730.80","1,99,762"
"26-Mar-2024","EQ","151.15","153.40","150.50","151.80","152.25","152.40","152.04","159.15","101.65","5,29,65,508","8,05,29,25,286.50","2,93,448"
"22-Mar-2024","EQ","149.00","152.75","148.35","150.10","151.45","151.80","151.31","159.15","101.55","6,82,41,556","10,32,53,86,812.25","3,11,476"
"21-Mar-2024","EQ","148.00","151.20","147.80","145.65","150.20","150.10","150.09","159.15","101.55","8,42,25,737","12,64,14,13,031.40","4,39,293"
"20-Mar-2024","EQ","149.60","150.65","143.85","148.75","145.40","145.65","146.24","159.15","101.55","7,75,50,319","11,34,12,30,039.55","3,43,720"
"19-Mar-2024","EQ","149.00","152.45","147.60","149.70","148.70","148.75","149.67","159.15","101.55","10,50,04,268","15,71,61,92,714.60","5,17,768"
"18-Mar-2024","EQ","142.55","150.25","142.20","141.70","148.80","149.70","147.47","159.15","101.55","16,69,13,078","24,61,39,25,688.70","5,75,951"
"15-Mar-2024","EQ","142.90","143.70","139.85","142.45","141.80","141.70","141.75","159.15","101.55","6,84,82,621","9,70,77,07,220.45","3,40,024"
"14-Mar-2024","EQ","143.60","143.95","138.35","143.65","142.70","142.45","141.39","159.15","101.55","9,19,56,952","13,00,14,14,682.75","4,73,239"
"13-Mar-2024","EQ","152.80","152.90","142.50","152.50","143.35","143.65","146.32","159.15","101.55","7,09,37,597","10,37,94,00,488.50","3,86,517"
"12-Mar-2024","EQ","154.20","154.55","150.90","153.45","152.30","152.50","152.46","159.15","101.55","3,49,47,937","5,32,81,22,657.40","2,51,671"
"11-Mar-2024","EQ","158.90","158.90","153.00","157.25","153.75","153.45","154.27","159.15","101.55","5,41,55,385","8,35,45,83,831.05","3,50,516"
"07-Mar-2024","EQ","152.40","159.15","152.25","151.60","157.05","157.25","156.50","159.15","101.55","12,48,47,699","19,53,90,09,874.65","5,69,247"
"06-Mar-2024","EQ","151.80","152.65","147.90","151.85","151.75","151.60","149.88","156.20","101.55","5,17,82,444","7,76,11,23,617.70","2,48,968"
"05-Mar-2024","EQ","153.20","154.00","150.75","153.10","152.00","151.85","152.40","156.20","101.55","3,71,65,490","5,66,41,92,406.90","2,55,164"
"04-Mar-2024","EQ","154.90","154.90","151.05","155.25","153.00","153.10","153.02","156.20","101.55","6,75,77,785","10,34,07,52,738.50","4,53,939"
"02-Mar-2024","EQ","152.00","156.20","151.00","149.95","155.35","155.25","154.02","156.20","101.55","2,16,43,047","3,33,34,79,361.50","1,39,508"
"01-Mar-2024","EQ","143.00","150.65","143.00","140.85","150.55","149.95","147.83","150.65","101.55","12,37,09,943","18,28,82,83,973.95","4,52,172"
"29-Feb-2024","EQ","140.80","141.85","139.40","140.75","141.60","140.85","140.78","147.40","101.55","3,22,48,156","4,54,00,48,126.75","1,84,138"
"28-Feb-2024","EQ","144.05","144.95","140.05","144.20","140.70","140.75","142.20","147.40","101.55","2,07,21,926","2,94,66,18,968.40","1,94,968"
"27-Feb-2024","EQ","142.65","144.50","142.00","142.65","144.20","144.20","143.45","147.40","101.55","2,41,19,469","3,45,98,28,038.65","1,81,981"
"26-Feb-2024","EQ","145.85","145.95","142.25","145.45","142.60","142.65","143.68","147.40","101.55","2,25,70,277","3,24,28,62,425.45","1,81,967"
"23-Feb-2024","EQ","146.40","147.10","145.00","145.90","145.40","145.45","146.22","147.40","101.55","2,84,14,697","4,15,47,98,679.20","2,06,077"
"22-Feb-2024","EQ","145.00","146.15","143.50","143.90","145.95","145.90","145.05","147.40","101.55","4,67,28,176","6,77,81,28,561.45","3,01,165"
"21-Feb-2024","EQ","141.55","146.20","141.45","141.05","144.00","143.90","144.64","147.40","101.55","8,80,00,833","12,72,80,88,397.95","4,02,755"
"20-Feb-2024","EQ","141.95","142.25","140.05","141.95","141.15","141.05","140.86","147.40","101.55","2,42,91,123","3,42,15,58,010.60","1,69,579"
"19-Feb-2024","EQ","142.95","143.35","141.35","142.30","141.80","141.95","142.28","147.40","101.55","1,69,73,568","2,41,49,47,922.85","1,48,665"
"16-Feb-2024","EQ","142.05","143.45","141.50","141.20","142.25","142.30","142.68","147.40","101.55","2,23,16,127","3,18,41,04,399.85","1,59,823"
"15-Feb-2024","EQ","141.50","143.45","141.00","141.20","141.10","141.20","142.05","147.40","101.55","3,15,87,387","4,48,70,16,479.10","2,01,451"
