"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Mar-2023","EQ","105.00","105.50","104.10","103.60","104.50","104.50","104.90","1,386.70","95.00","3,45,79,415","3,62,73,14,028.05","1,43,838"
"29-Mar-2023","EQ","102.50","104.50","101.65","102.50","103.80","103.60","102.55","1,386.70","95.00","3,72,21,124","3,81,70,72,842.05","1,50,605"
"28-Mar-2023","EQ","102.85","103.10","102.35","102.30","102.60","102.50","102.66","1,386.70","95.00","1,87,03,734","1,92,02,12,067.45","1,19,164"
"27-Mar-2023","EQ","102.55","103.40","102.10","102.10","102.30","102.30","102.63","1,386.70","95.00","2,47,53,289","2,54,05,28,569.55","1,49,006"
"24-Mar-2023","EQ","105.00","105.05","101.55","104.90","102.05","102.10","103.10","1,386.70","95.00","3,90,14,278","4,02,23,77,160.10","2,41,782"
"23-Mar-2023","EQ","104.40","105.50","104.35","104.80","105.00","104.90","105.06","1,386.70","95.00","2,09,13,844","2,19,71,43,347.90","1,14,789"
"22-Mar-2023","EQ","104.75","105.95","104.40","104.75","104.95","104.80","105.21","1,386.70","95.00","2,58,91,259","2,72,40,80,059.55","1,05,023"
"21-Mar-2023","EQ","105.10","105.40","104.30","104.50","104.80","104.75","104.71","1,386.70","95.00","2,64,34,897","2,76,80,91,153.40","1,42,994"
"20-Mar-2023","EQ","106.10","106.45","103.85","107.00","104.50","104.50","104.71","1,386.70","95.00","4,15,69,640","4,35,26,03,949.85","1,82,679"
"17-Mar-2023","EQ","106.45","107.35","105.00","105.05","107.15","107.00","106.25","1,386.70","95.00","4,89,62,238","5,20,24,72,538.40","1,65,069"
"16-Mar-2023","EQ","107.25","107.25","103.70","108.65","105.30","105.05","104.83","1,386.70","95.00","8,10,88,340","8,50,01,65,789.10","2,76,188"
"15-Mar-2023","EQ","107.50","109.15","107.40","106.40","108.70","108.65","108.53","1,386.70","95.00","3,89,30,902","4,22,53,15,557.85","1,50,243"
"14-Mar-2023","EQ","107.00","108.55","106.20","106.80","106.55","106.40","107.38","1,386.70","95.00","4,85,84,984","5,21,71,99,866.90","1,66,949"
"13-Mar-2023","EQ","108.25","109.00","106.35","108.10","107.15","106.80","107.66","1,386.70","95.00","3,45,52,596","3,72,00,63,116.85","1,43,686"
"10-Mar-2023","EQ","107.00","108.35","106.60","108.20","108.15","108.10","107.74","1,386.70","95.00","4,76,99,832","5,13,89,44,228.45","1,54,176"
"09-Mar-2023","EQ","107.85","108.95","107.50","106.50","108.20","108.20","108.41","1,386.70","95.00","5,19,67,449","5,63,39,85,537.85","1,99,963"
"08-Mar-2023","EQ","105.30","106.90","104.00","105.65","106.40","106.50","106.10","1,386.70","95.00","4,39,39,583","4,66,18,90,631.85","1,76,234"
"06-Mar-2023","EQ","107.50","107.60","105.00","107.00","105.85","105.65","106.04","1,386.70","95.00","10,68,68,143","11,33,19,46,650.00","2,35,575"
"03-Mar-2023","EQ","106.00","107.45","105.00","104.65","107.45","107.00","105.92","1,386.70","95.00","11,71,75,295","12,41,09,56,853.75","2,12,882"
"02-Mar-2023","EQ","106.05","106.90","104.35","105.50","104.85","104.65","105.14","1,386.70","95.00","5,52,76,248","5,81,18,26,485.25","2,00,155"
"01-Mar-2023","EQ","104.70","107.10","104.50","103.95","105.70","105.50","105.57","1,386.70","95.00","7,61,75,319","8,04,18,59,455.85","2,12,265"
"28-Feb-2023","EQ","106.85","107.05","103.55","106.10","104.10","103.95","104.68","1,386.70","95.00","7,65,40,448","8,01,22,43,048.10","2,73,452"
"27-Feb-2023","EQ","109.80","110.05","105.15","109.75","106.50","106.10","106.67","1,386.70","95.00","5,62,17,189","5,99,65,71,618.55","2,76,383"
"24-Feb-2023","EQ","112.50","112.90","109.55","112.05","109.85","109.75","110.47","1,386.70","95.00","3,43,26,940","3,79,20,36,662.95","1,54,954"
"23-Feb-2023","EQ","111.55","113.65","111.35","111.15","112.20","112.05","112.32","1,386.70","95.00","3,08,45,778","3,46,44,72,213.65","1,53,482"
"22-Feb-2023","EQ","113.25","113.70","110.65","113.15","111.15","111.15","111.85","1,386.70","95.00","2,43,91,211","2,72,81,86,737.25","1,28,818"
"21-Feb-2023","EQ","112.90","114.20","112.75","112.35","113.45","113.15","113.56","1,386.70","95.00","2,98,30,864","3,38,74,74,094.25","1,49,603"
