"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2025","EQ","155.38","156.91","153.37","155.42","153.98","154.24","154.50","184.60","122.62","2,45,89,315","3,79,89,35,508.26","1,05,656"
"27-Mar-2025","EQ","154.80","156.10","154.20","155.81","155.36","155.42","155.47","184.60","122.62","2,59,09,068","4,02,80,14,189.92","1,36,794"
"26-Mar-2025","EQ","156.20","157.54","155.01","156.73","155.07","155.81","156.44","184.60","122.62","2,31,82,869","3,62,67,32,598.78","1,42,138"
"25-Mar-2025","EQ","159.00","159.00","156.05","158.42","156.27","156.73","157.22","184.60","122.62","2,84,67,187","4,47,57,45,077.22","1,82,282"
"24-Mar-2025","EQ","158.00","159.00","157.11","157.28","158.29","158.42","158.42","184.60","122.62","3,09,05,773","4,89,59,84,860.52","1,54,989"
"21-Mar-2025","EQ","159.03","159.75","156.82","159.04","157.08","157.28","157.96","184.60","122.62","4,91,84,821","7,76,92,39,117.59","1,54,615"
"20-Mar-2025","EQ","160.00","160.10","156.65","158.60","159.03","159.04","158.64","184.60","122.62","3,98,89,517","6,32,80,46,698.67","1,93,466"
"19-Mar-2025","EQ","156.80","159.20","156.50","154.66","158.54","158.60","158.11","184.60","122.62","6,61,61,413","10,46,08,45,185.47","3,62,436"
"18-Mar-2025","EQ","153.00","154.83","152.22","151.81","154.60","154.66","153.68","184.60","122.62","3,81,25,586","5,85,91,64,416.95","2,77,281"
"17-Mar-2025","EQ","151.99","152.64","150.90","150.88","152.01","151.81","151.74","184.60","122.62","3,58,79,781","5,44,44,35,545.07","1,91,938"
"13-Mar-2025","EQ","152.00","153.56","150.02","150.30","150.70","150.88","151.47","184.60","122.62","4,82,86,431","7,31,40,85,180.50","2,06,875"
"12-Mar-2025","EQ","151.00","152.28","147.70","150.75","150.28","150.30","149.75","184.60","122.62","2,63,77,549","3,95,00,05,335.92","1,52,112"
"11-Mar-2025","EQ","148.10","151.70","148.00","151.05","150.83","150.75","150.56","184.60","122.62","3,59,16,900","5,40,77,20,556.67","1,82,888"
"10-Mar-2025","EQ","151.56","154.24","150.41","151.56","150.65","151.05","152.25","184.60","122.62","5,44,50,331","8,29,02,75,937.58","2,72,383"
"07-Mar-2025","EQ","149.74","152.45","149.27","150.44","151.50","151.56","151.57","184.60","122.62","8,18,21,791","12,40,15,72,015.30","2,98,325"
"06-Mar-2025","EQ","146.79","152.20","146.20","146.10","149.74","150.44","149.77","184.60","122.62","7,91,21,467","11,84,98,00,824.69","3,48,979"
"05-Mar-2025","EQ","139.00","146.49","139.00","139.34","145.68","146.10","144.05","184.60","122.62","6,21,09,377","8,94,68,72,004.34","3,84,142"
"04-Mar-2025","EQ","136.15","140.94","135.81","138.57","139.29","139.34","139.13","184.60","122.62","2,86,34,645","3,98,38,76,585.13","1,73,877"
"03-Mar-2025","EQ","137.00","139.05","134.31","137.20","138.32","138.57","137.02","184.60","122.62","3,11,54,401","4,26,88,41,100.55","2,28,959"
"28-Feb-2025","EQ","137.80","137.80","134.06","138.69","137.16","137.20","136.23","184.60","122.62","4,55,40,594","6,20,39,16,419.27","2,70,079"
"27-Feb-2025","EQ","137.21","138.99","135.88","137.07","138.80","138.69","137.24","184.60","122.62","3,07,47,044","4,21,96,34,170.42","1,77,643"
"25-Feb-2025","EQ","138.49","139.35","136.70","137.65","137.00","137.07","137.56","184.60","122.62","2,35,75,603","3,24,30,71,564.86","2,02,741"
"24-Feb-2025","EQ","138.81","140.66","136.66","140.76","137.39","137.65","138.86","184.60","122.62","2,51,93,205","3,49,82,35,797.80","1,94,696"
"21-Feb-2025","EQ","137.91","141.60","137.15","138.04","140.60","140.76","140.19","184.60","122.62","4,19,87,785","5,88,62,50,057.98","2,58,806"
"20-Feb-2025","EQ","135.27","138.36","135.00","135.76","138.00","138.04","137.22","184.60","122.62","2,41,39,808","3,31,25,52,015.27","1,75,522"
"19-Feb-2025","EQ","134.50","136.88","133.03","134.54","135.80","135.76","135.87","184.60","122.62","1,84,47,487","2,50,63,99,510.52","1,42,282"
"18-Feb-2025","EQ","134.29","134.90","131.75","134.29","134.16","134.54","133.31","184.60","122.62","2,39,57,576","3,19,37,39,383.77","1,44,444"
"17-Feb-2025","EQ","132.91","134.80","130.73","134.47","134.31","134.29","133.28","184.60","122.62","2,11,89,637","2,82,41,89,592.79","1,94,558"
"14-Feb-2025","EQ","136.25","139.25","133.33","136.25","134.02","134.47","135.51","184.60","122.62","4,14,69,242","5,61,95,70,218.29","2,24,745"
"13-Feb-2025","EQ","132.28","137.69","131.86","132.28","136.41","136.25","136.07","184.60","122.62","5,20,36,196","7,08,07,56,827.59","2,40,088"
