"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Mar-2023","EQ","568.30","575.50","567.50","564.50","572.40","572.80","573.16","840.95","557.00","12,37,105","70,90,53,209.95","36,341"
"29-Mar-2023","EQ","563.00","568.70","557.10","560.20","566.90","564.50","563.09","840.95","557.00","20,17,776","1,13,61,86,194.65","48,723"
"28-Mar-2023","EQ","584.00","584.00","558.85","582.10","560.70","560.20","567.98","840.95","557.00","20,25,058","1,15,01,91,301.85","72,047"
"27-Mar-2023","EQ","598.05","599.95","576.70","600.05","578.50","582.10","588.83","840.95","557.00","14,29,219","84,15,69,490.15","49,681"
"24-Mar-2023","EQ","605.10","608.60","598.10","605.15","598.95","600.05","603.95","840.95","557.00","8,86,735","53,55,48,031.70","26,758"
"23-Mar-2023","EQ","604.70","606.60","599.65","604.75","605.05","605.15","603.31","840.95","557.00","9,32,262","56,24,44,810.35","20,631"
"22-Mar-2023","EQ","609.10","609.90","603.85","606.75","604.80","604.75","606.95","840.95","557.00","5,04,390","30,61,37,403.65","17,359"
"21-Mar-2023","EQ","604.25","608.80","602.15","604.45","607.00","606.75","606.02","840.95","557.00","8,23,110","49,88,18,211.10","20,501"
"20-Mar-2023","EQ","606.00","609.90","600.00","611.65","604.25","604.45","602.94","840.95","557.00","6,94,608","41,88,04,752.70","22,265"
"17-Mar-2023","EQ","606.70","619.00","606.20","603.45","611.00","611.65","611.47","840.95","557.00","12,71,225","77,73,14,573.05","33,645"
"16-Mar-2023","EQ","604.50","606.60","595.70","605.65","603.20","603.45","602.33","840.95","557.00","9,21,400","55,49,88,167.95","28,065"
"15-Mar-2023","EQ","605.00","608.95","601.50","603.35","603.10","605.65","605.24","840.95","557.00","7,87,957","47,69,00,492.50","26,181"
"14-Mar-2023","EQ","602.00","605.00","596.10","601.65","603.50","603.35","601.20","840.95","557.00","10,24,101","61,56,93,921.35","31,561"
"13-Mar-2023","EQ","607.15","613.00","600.00","611.95","602.25","601.65","605.59","840.95","557.00","10,63,211","64,38,65,754.00","40,590"
"10-Mar-2023","EQ","612.80","613.50","604.55","615.05","613.00","611.95","608.63","840.95","557.00","7,83,871","47,70,87,378.95","32,933"
"09-Mar-2023","EQ","618.80","621.40","614.00","618.25","614.80","615.05","617.04","840.95","557.00","7,05,160","43,51,13,334.35","24,655"
"08-Mar-2023","EQ","615.00","618.80","612.20","615.80","617.70","618.25","615.76","840.95","557.00","5,99,416","36,90,93,729.90","19,070"
"06-Mar-2023","EQ","615.55","620.95","615.05","613.95","615.80","615.80","617.99","840.95","557.00","11,59,437","71,65,17,336.65","29,361"
"03-Mar-2023","EQ","611.00","617.50","611.00","609.20","613.95","613.95","614.18","840.95","557.00","9,22,970","56,68,65,444.75","26,198"
"02-Mar-2023","EQ","614.45","614.45","608.00","611.35","609.00","609.20","610.95","840.95","557.00","6,75,954","41,29,70,843.95","23,344"
"01-Mar-2023","EQ","603.30","614.80","603.30","609.25","611.40","611.35","611.22","840.95","557.00","8,38,187","51,23,15,092.30","26,127"
"28-Feb-2023","EQ","602.85","610.65","600.60","599.85","609.00","609.25","606.91","840.95","557.00","11,69,989","71,00,73,873.20","32,870"
"27-Feb-2023","EQ","606.00","607.10","595.00","607.85","601.85","599.85","599.43","840.95","557.00","12,72,125","76,25,54,250.95","46,222"
"24-Feb-2023","EQ","604.95","610.00","602.00","602.30","607.75","607.85","606.20","840.95","557.00","11,03,521","66,89,58,110.90","31,301"
"23-Feb-2023","EQ","616.00","616.00","601.00","619.30","603.45","602.30","607.62","840.95","557.00","19,05,454","1,15,77,95,003.05","61,001"
"22-Feb-2023","EQ","639.40","639.40","617.80","642.55","618.10","619.30","624.86","840.95","557.00","14,76,831","92,28,10,174.60","47,475"
"21-Feb-2023","EQ","641.85","647.45","639.00","641.85","642.00","642.55","643.88","840.95","557.00","8,10,862","52,20,95,256.60","20,006"
"20-Feb-2023","EQ","649.90","652.90","640.65","649.90","641.75","641.85","644.53","840.95","557.00","8,39,690","54,12,01,586.35","24,621"
"17-Feb-2023","EQ","648.15","651.95","645.25","649.25","649.10","649.90","649.36","840.95","557.00","7,69,510","49,96,92,836.90","23,049"
"16-Feb-2023","EQ","647.25","653.00","645.90","647.25","648.15","649.25","650.32","840.95","557.00","9,08,726","59,09,60,275.80","26,909"
"15-Feb-2023","EQ","640.50","648.00","631.00","642.05","647.75","647.25","645.15","840.95","557.00","8,26,243","53,30,54,399.40","25,273"
"14-Feb-2023","EQ","642.00","644.60","636.20","640.10","642.00","642.05","641.04","840.95","557.00","7,73,609","49,59,13,970.00","18,513"
"13-Feb-2023","EQ","644.15","646.15","633.50","644.15","640.50","640.10","639.33","840.95","557.00","8,59,178","54,92,97,618.40","25,240"
"10-Feb-2023","EQ","653.70","653.70","641.55","651.45","644.00","644.15","645.20","868.55","557.00","13,67,860","88,25,48,847.35","36,956"
"09-Feb-2023","EQ","643.00","656.70","637.00","641.30","649.65","651.45","647.57","868.55","557.00","30,35,079","1,96,54,33,731.15","68,508"
"08-Feb-2023","EQ","637.95","642.00","635.05","636.45","641.90","641.30","639.62","868.55","557.00","9,71,390","62,13,16,119.50","27,724"
"07-Feb-2023","EQ","635.00","637.90","630.50","634.85","636.50","636.45","634.53","868.55","557.00","8,76,421","55,61,13,210.70","30,365"
"06-Feb-2023","EQ","627.00","636.30","625.00","627.45","634.85","634.85","633.11","868.55","557.00","9,03,072","57,17,43,143.00","31,987"
"03-Feb-2023","EQ","631.10","633.20","618.00","630.20","627.00","627.45","625.18","899.90","557.00","10,17,351","63,60,26,278.85","35,655"
"02-Feb-2023","EQ","628.00","634.45","622.90","628.05","630.95","630.20","629.94","899.90","557.00","12,29,577","77,45,65,869.20","33,394"
"01-Feb-2023","EQ","641.00","652.80","616.80","636.60","631.45","628.05","639.72","899.90","557.00","33,38,066","2,13,54,21,805.50","81,214"
"31-Jan-2023","EQ","626.05","640.00","622.20","624.85","638.00","636.60","632.26","899.90","557.00","11,69,450","73,93,94,196.00","38,764"
"30-Jan-2023","EQ","613.95","626.75","610.00","611.85","625.45","624.85","621.63","899.90","557.00","11,92,737","74,14,44,498.70","35,476"
"27-Jan-2023","EQ","630.70","632.85","601.00","627.55","613.70","611.85","611.86","899.90","557.00","20,34,846","1,24,50,32,203.25","72,959"
"25-Jan-2023","EQ","640.35","643.70","625.50","643.20","628.80","627.55","631.06","899.90","557.00","15,18,420","95,82,06,538.40","45,971"
"24-Jan-2023","EQ","643.10","647.40","638.60","642.80","642.85","643.20","643.34","899.90","557.00","8,45,755","54,41,06,898.55","23,310"
"23-Jan-2023","EQ","644.70","645.00","639.80","641.45","642.75","642.80","642.53","899.90","557.00","7,56,232","48,59,03,731.80","23,810"
"20-Jan-2023","EQ","639.50","651.95","638.50","640.30","641.40","641.45","645.75","918.65","557.00","17,59,179","1,13,59,96,184.10","42,165"
"19-Jan-2023","EQ","639.00","641.00","635.00","640.15","640.05","640.30","639.38","918.65","557.00","8,02,422","51,30,48,677.05","22,943"
"18-Jan-2023","EQ","641.55","642.50","637.70","641.15","640.00","640.15","639.96","918.65","557.00","7,06,202","45,19,37,543.75","20,169"
"17-Jan-2023","EQ","640.00","643.70","633.65","640.05","642.00","641.15","637.54","918.65","557.00","10,93,013","69,68,34,266.00","30,454"
"16-Jan-2023","EQ","643.00","643.35","638.00","641.50","640.05","640.05","639.93","918.65","557.00","7,89,814","50,54,24,355.05","19,494"
"13-Jan-2023","EQ","642.50","643.50","637.05","640.65","641.00","641.50","640.64","918.65","557.00","6,97,974","44,71,49,547.90","23,509"
"12-Jan-2023","EQ","643.70","644.30","638.25","640.75","640.20","640.65","641.02","918.65","557.00","6,85,572","43,94,66,412.20","24,477"
"11-Jan-2023","EQ","636.20","644.00","636.20","636.95","640.90","640.75","640.15","918.65","557.00","9,22,620","59,06,18,557.80","25,127"
"10-Jan-2023","EQ","639.00","642.80","634.60","639.60","636.80","636.95","638.49","918.65","557.00","9,78,802","62,49,58,065.15","27,889"
"09-Jan-2023","EQ","639.45","641.80","636.30","636.25","640.00","639.60","639.52","918.65","557.00","5,92,137","37,86,80,498.80","20,153"
"06-Jan-2023","EQ","637.35","639.95","631.00","637.15","635.00","636.25","635.72","918.65","557.00","7,30,880","46,46,32,201.80","23,006"
"05-Jan-2023","EQ","638.40","638.40","631.50","635.20","637.25","637.15","635.33","918.65","557.00","8,61,066","54,70,62,777.85","24,341"
"04-Jan-2023","EQ","646.00","646.55","633.00","644.05","635.00","635.20","636.91","918.65","557.00","13,77,074","87,70,68,389.80","37,754"
