Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,22552.65,22948.85,22550.35,22814.45,75182331,4520.17
29-MAR-2023,22260.6,22494.8,22205.45,22373.05,121151594,4740.87
28-MAR-2023,22452.55,22473.45,22300,22388.85,62072406,2333.11
27-MAR-2023,22718.05,22811.5,22466.5,22514.55,89323087,3726.27
24-MAR-2023,22905.1,22947.75,22580.45,22613.4,83710978,4004.67
23-MAR-2023,22841.85,22918.55,22739.45,22821.75,64872060,2879.47
22-MAR-2023,22930.25,22940.35,22785.95,22835.75,84310031,2634.44
21-MAR-2023,22715.25,22826.5,22589.15,22792.9,89563527,3939.88
20-MAR-2023,22529.9,22655.45,22405.55,22585.7,96420011,4043.12
17-MAR-2023,22850.2,22870.75,22598.45,22659,172932591,6657.93
16-MAR-2023,22480.5,22735.6,22295.3,22621.35,136328043,4492.03
15-MAR-2023,22505.85,22550,22351.7,22393.7,75013402,3740.33
14-MAR-2023,22564.9,22678.35,22319.45,22403.3,85331088,3623.81
13-MAR-2023,22836.65,22918.9,22513.2,22561.65,80638227,2627.6
10-MAR-2023,22570.45,22718.05,22509.45,22696.75,72652820,2656.41
09-MAR-2023,22988.3,22989.25,22654.6,22682.15,75685150,3025.48
08-MAR-2023,22717.6,22898.6,22646.8,22887.75,90566567,3202.31
06-MAR-2023,22446.1,22785.35,22436.1,22698.5,102806359,2715.45
03-MAR-2023,22098.9,22339.2,22066.9,22268.75,80588131,2787.82
02-MAR-2023,21894.55,21961.35,21831.9,21900.05,106077177,3043.69
01-MAR-2023,21768.95,21899.35,21725.65,21874.6,58750948,2298.5
28-FEB-2023,21801.3,21844.65,21631.1,21682.25,125783380,4791.78
27-FEB-2023,21890.05,21937.2,21724.65,21900.6,98319847,2707.64
24-FEB-2023,21774.9,21979.85,21770.2,21946.65,94617582,2312.41
23-FEB-2023,21880.95,21975.5,21750.85,21801.8,100657947,2471.12
22-FEB-2023,22204.85,22226.2,21862.1,21916.45,73415255,2377.2
21-FEB-2023,22296.15,22425.75,22220.7,22339,76839744,2762.8
20-FEB-2023,22461.55,22506.8,22217.45,22249.05,56545058,1949.49
17-FEB-2023,22367.95,22544.7,22324.1,22469.2,84030880,2792.36
16-FEB-2023,22448.65,22631.4,22380.7,22427.65,90065433,4199.25
15-FEB-2023,22140.2,22380.75,22132.05,22349.15,65075084,4558.85
14-FEB-2023,22203.7,22295.7,22106.05,22273.85,50117540,2251.23
13-FEB-2023,22248.05,22322.15,22160.2,22258.95,47662403,1820.97
10-FEB-2023,22365.4,22391.45,22242.1,22325.85,53778751,2042.78
09-FEB-2023,22506.8,22559.7,22329.05,22499.75,53592574,2547.85
08-FEB-2023,22440.6,22607.75,22414.1,22559.8,72668555,4249.58
07-FEB-2023,22391.7,22646.75,22314.1,22386.5,74364497,4031.41
06-FEB-2023,22328.7,22501.15,22304.1,22478.05,72137706,2655.93
03-FEB-2023,22707.8,22707.8,22350.35,22638.4,83722058,3753.97
02-FEB-2023,22994.05,23123.6,22785.25,22874,91873044,2949.88
01-FEB-2023,24060.45,24064.15,23001.8,23402.75,119865169,4773.51
31-JAN-2023,23497.95,23770.85,23305.05,23713.5,157757138,6543.4
30-JAN-2023,23711.45,24181.5,23144.85,23434.7,143421197,6581.2
27-JAN-2023,25262,25336.2,23948.85,24169.95,94992573,5420.26
25-JAN-2023,25864.2,25908.3,25374.1,25450.3,62837647,2617.61
24-JAN-2023,26230,26230,25896.4,25962.25,53358056,2816.98
23-JAN-2023,26232.3,26294.75,26077.1,26137.45,83735230,2728.09
20-JAN-2023,26189.1,26252.5,26087.55,26135.05,75216947,3370.54
19-JAN-2023,26216.15,26230.55,26013.15,26163,65167565,2845.04
18-JAN-2023,26307.55,26340.65,26174.65,26272.55,58598057,2833.05
17-JAN-2023,26116.6,26369.35,26080.5,26331.1,76346379,3725.89
16-JAN-2023,25943.05,26055.6,25788.4,26026.9,59542637,3495.62
13-JAN-2023,25668.75,25883.2,25578.9,25862.55,55527388,3247.49
12-JAN-2023,25941.55,25941.55,25584.75,25699.6,79532520,3404.2
11-JAN-2023,26115.4,26152.9,25830.95,25876.6,102400950,2937.76
10-JAN-2023,26223.3,26227.35,25831.25,26092.9,75695863,2336.09
09-JAN-2023,25886.15,26208.85,25876.55,26163.95,107722543,3144.76
06-JAN-2023,25766,25857.7,25641.95,25728.85,88831282,2193.97
05-JAN-2023,25702.55,25772.85,25453.45,25717.85,99645722,3338.41
04-JAN-2023,26018.8,26029,25571.95,25605.55,76876117,2441.09
03-JAN-2023,26018.95,26070.95,25878.95,26005.3,58999413,1993.53
02-JAN-2023,25948.2,26127.5,25879.55,26031,61517076,1759.27
30-DEC-2022,25984.5,26180.05,25797.15,25869.85,60136907,2242.68
29-DEC-2022,25566.05,25974.6,25493.5,25863.6,117578323,3035.67
28-DEC-2022,25583.05,25774.2,25542.05,25725.35,67353701,2366.45
27-DEC-2022,25539.85,25803.95,25425.85,25641.7,57989043,2025.19
26-DEC-2022,24924.95,25553.15,24665.55,25395.65,63310038,2131.9
23-DEC-2022,25678.95,25779.5,24783.65,24879.95,84858875,2700.99
22-DEC-2022,26230.1,26306.5,25747.95,25879.2,70190179,2106.58
21-DEC-2022,26647.65,26747.35,26059.3,26125.3,63862447,2149.3
20-DEC-2022,26510.15,26660.8,26220.6,26619.5,52605784,1750.51
19-DEC-2022,26400.35,26617.95,26291.25,26578.7,66460699,1970.55
16-DEC-2022,26429.35,26713.85,26232.95,26302,116187806,3704.48
15-DEC-2022,26606.1,26698.05,26446.75,26489.2,79124094,2237.86
14-DEC-2022,26561.25,26739.7,26536.95,26648,90664111,2317.96
13-DEC-2022,26511.3,26548.85,26419.7,26482.35,67255790,2097.09
12-DEC-2022,26242.75,26488,26118.15,26450.3,79644748,2511.44
09-DEC-2022,26712.25,26744.25,26248.15,26370.45,85549185,2851.22
08-DEC-2022,26811.65,26812.15,26596.5,26643.2,59746933,1959.17
07-DEC-2022,26978.9,27033.2,26631.8,26714.5,73157765,2248.85
06-DEC-2022,26877.15,27059.3,26813.95,27021.05,76088223,2598.63
05-DEC-2022,27043.75,27073.65,26764.4,26931.65,87756264,3315.76
02-DEC-2022,27219.5,27270.8,26957.6,27028.05,85048167,2967.13
01-DEC-2022,27514.95,27545.15,27130.6,27183.15,87369418,2838.6
30-NOV-2022,26913.9,27494.45,26828.95,27354,116521057,5531.79
29-NOV-2022,26830.9,26985.75,26774,26884.45,79545352,2729.89
28-NOV-2022,26424.65,26899.6,26052.05,26804.8,106378601,5553.28
25-NOV-2022,26370.85,26486.6,26150.7,26452.6,82031401,2295.18
24-NOV-2022,26164.85,26356.8,26107.2,26312.95,92139707,2529.34
23-NOV-2022,26148.95,26177.35,25987.65,26080.2,61037280,2039.79
22-NOV-2022,26138.95,26195.5,25979.7,26050.15,76794567,2090.63
21-NOV-2022,26409.3,26439.7,26099.45,26141.9,70045159,2135.34
18-NOV-2022,26655.6,26693.85,26295.85,26489.3,70287987,2088.95
17-NOV-2022,26731.35,26872.55,26502.65,26584.2,60392266,2090.74
16-NOV-2022,27016.45,27032.9,26695.8,26760.1,63036613,2602.51
15-NOV-2022,26904.15,27022.25,26843.6,26994.95,77962071,2454.7
14-NOV-2022,27001.15,27025.55,26820.8,26866.3,69377559,2534.02
11-NOV-2022,26951.55,27035.85,26787.2,26955.65,78566473,3056.65
10-NOV-2022,26834.35,26921.75,26646.55,26712.25,66436185,2213.85
09-NOV-2022,27226.15,27233.35,26857.25,26941.6,93774093,3451.4
07-NOV-2022,26973.75,27133.8,26912.4,27102.35,81030545,3025.37
04-NOV-2022,26794.15,26933.45,26735.8,26896.05,70298305,2814.03
03-NOV-2022,26729.5,26863.4,26654.2,26769.45,66311236,2111.87
02-NOV-2022,26934.65,26988.15,26796.8,26917.9,84688595,2765.49
01-NOV-2022,26919.6,26938.15,26649.7,26899.65,108241850,3889.25
31-OCT-2022,26558.25,26712.1,26453.1,26672.65,98921126,3379.56
28-OCT-2022,26221.15,26536.8,26151.6,26493.25,102633528,3794.65
27-OCT-2022,25930.75,26215.6,25897.45,26130.2,94727795,3302.82
25-OCT-2022,26175.3,26177.4,25729.35,25793.15,72557169,2808.18
24-OCT-2022,26044.15,26234.15,26008.6,26056.25,13349686,606.17
21-OCT-2022,26129.25,26213.1,25822.2,25907.55,66369754,3291.88
20-OCT-2022,25635.75,26143.15,25576.9,26080.35,98483126,2795.89
19-OCT-2022,25843.45,26123.45,25672.25,25721.45,59128766,3537.04
18-OCT-2022,25629.65,25881.6,25619.75,25779.55,75585368,3217.19
17-OCT-2022,25015.8,25532.95,24851.75,25449.15,73195854,3492.28
14-OCT-2022,25766.6,25768,24994.3,25066.95,74328870,2455.25
13-OCT-2022,25459.2,25515.95,25256.25,25319.9,68360616,2055.79
12-OCT-2022,25279,25521.6,25226.85,25455.4,95771113,2699.29
11-OCT-2022,25777.55,25777.55,25152.6,25209.75,86129633,2587.91
10-OCT-2022,25606.65,25802.25,25062.85,25621.6,69465682,1994.04
07-OCT-2022,25782.1,25920.5,25696.8,25884,79942392,2371.3
06-OCT-2022,25953.2,26060.4,25833.15,25865.25,83605545,3433.34
04-OCT-2022,25646.45,25762.6,25316.1,25717.65,81213771,3411.81
03-OCT-2022,25770.55,26023.85,24916.3,25192.6,122335587,3963.65
30-SEP-2022,24939.15,25893,24922.05,25581.3,154818282,6007.87
29-SEP-2022,25555.7,25760.4,24975.1,25070.4,134597226,4173.26
28-SEP-2022,25454.25,25545.25,25205.9,25281.25,120878986,3980.08
27-SEP-2022,25909.35,26059.05,25616.65,25682.3,114262965,3851.56
26-SEP-2022,26208.8,26251.1,25501.05,25684.2,230915630,5822.48
23-SEP-2022,27178.75,27277.1,26431.15,26500.1,135484023,3888.04
22-SEP-2022,27159.1,27298.65,26918.1,27223.35,96764115,3311.16
21-SEP-2022,27714.9,27849.65,27261.95,27310.1,91713648,3115.76
20-SEP-2022,27840,27975.15,27630.75,27724.35,91616589,3252.75
19-SEP-2022,27862.25,27935.4,27534.95,27586.75,87992477,2894.32
16-SEP-2022,28074.45,28178.35,27455.75,27728.8,189712818,6414.15
15-SEP-2022,28056.4,28257.15,27932.85,28172.1,106112087,3768.82
