"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Mar-2023","EQ","2,615.00","2,632.00","2,592.05","2,603.05","2,620.00","2,625.50","2,612.62","2,933.80","2,026.00","49,53,387","12,94,13,04,955.35","1,79,997"
"29-Mar-2023","EQ","2,586.00","2,614.00","2,578.95","2,580.15","2,599.25","2,603.05","2,595.97","2,933.80","2,026.00","39,30,726","10,20,40,35,091.50","1,23,275"
"28-Mar-2023","EQ","2,565.00","2,584.00","2,560.10","2,561.90","2,576.00","2,580.15","2,574.41","2,933.80","2,026.00","24,45,804","6,29,65,00,310.55","1,12,504"
"27-Mar-2023","EQ","2,565.00","2,579.40","2,551.10","2,559.90","2,554.05","2,561.90","2,568.46","2,933.80","2,026.00","29,99,513","7,70,41,16,281.65","1,21,137"
"24-Mar-2023","EQ","2,555.15","2,586.60","2,545.10","2,569.85","2,550.00","2,559.90","2,568.28","2,933.80","2,026.00","21,14,450","5,43,05,06,146.25","98,467"
"23-Mar-2023","EQ","2,568.55","2,600.00","2,556.60","2,584.20","2,564.80","2,569.85","2,576.87","2,933.80","2,026.00","24,93,899","6,42,64,48,870.20","1,10,407"
"22-Mar-2023","EQ","2,589.00","2,591.40","2,568.05","2,580.70","2,582.25","2,584.20","2,579.22","2,933.80","2,026.00","20,39,713","5,26,08,70,131.95","1,25,667"
"21-Mar-2023","EQ","2,570.00","2,584.00","2,552.15","2,554.70","2,579.50","2,580.70","2,566.07","2,933.80","2,026.00","28,62,486","7,34,53,49,550.85","1,03,395"
"20-Mar-2023","EQ","2,577.00","2,577.00","2,532.10","2,564.15","2,558.00","2,554.70","2,548.30","2,933.80","2,026.00","26,92,196","6,86,05,23,581.00","1,34,288"
"17-Mar-2023","EQ","2,547.30","2,579.40","2,513.50","2,531.60","2,577.45","2,564.15","2,548.90","2,933.80","2,026.00","49,79,214","12,69,15,18,965.25","1,87,942"
"16-Mar-2023","EQ","2,534.00","2,548.15","2,502.05","2,528.85","2,535.30","2,531.60","2,524.64","2,933.80","2,026.00","39,40,604","9,94,86,05,848.25","1,84,506"
"15-Mar-2023","EQ","2,579.95","2,586.60","2,520.25","2,557.45","2,534.00","2,528.85","2,552.18","2,933.80","2,026.00","17,70,763","4,51,92,97,660.10","1,04,645"
"14-Mar-2023","EQ","2,571.10","2,595.45","2,550.00","2,575.25","2,563.50","2,557.45","2,569.53","2,933.80","2,026.00","36,13,916","9,28,60,52,527.35","1,55,077"
"13-Mar-2023","EQ","2,610.00","2,626.50","2,566.00","2,608.90","2,581.50","2,575.25","2,592.19","2,933.80","2,026.00","26,65,484","6,90,94,51,629.15","1,12,629"
