Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,40231.25,40690.4,40180.2,40608.65,188002824,9261.53
29-MAR-2023,39611.55,40055,39609.55,39910.15,259640527,11694.21
28-MAR-2023,39545.05,39645.2,39326.1,39567.9,202320127,9219.68
27-MAR-2023,39484.7,39695.2,39273.75,39431.3,194157987,7757.95
24-MAR-2023,39555.25,39767.9,39294.9,39395.35,166141025,7575.24
23-MAR-2023,39836.15,40201.6,39552.5,39616.9,153170787,7988.11
22-MAR-2023,40036,40085.6,39837.8,39999.05,143616857,5887.94
21-MAR-2023,39599.65,39970.9,39366.3,39894.7,187936424,8669.1
20-MAR-2023,39512.1,39512.1,38941.9,39361.95,173823282,7300.67
17-MAR-2023,39442.4,39705.15,38926.8,39598.1,173387891,7490.16
16-MAR-2023,39061.7,39381.4,38613.15,39132.6,196309704,7430.53
15-MAR-2023,39777.9,39914.1,38934.65,39051.5,164310498,7339.38
14-MAR-2023,39522.4,39768.5,39132.6,39411.4,205727331,9906.59
13-MAR-2023,40356.1,40690.05,39454.6,39564.7,174457859,8875.86
10-MAR-2023,40805.25,40839,40341.7,40485.45,145262034,7322.45
09-MAR-2023,41532.65,41659,41208.1,41256.75,119231844,6603.11
08-MAR-2023,41178.35,41625.35,41100.35,41577.1,157566079,7158.23
06-MAR-2023,41418.4,41671.2,41259.15,41350.4,180157976,7703.48
03-MAR-2023,40671.4,41390.15,40605.35,41251.35,213840069,7013.08
02-MAR-2023,40604.55,40773.25,40312.9,40389.8,149213201,6231.45
01-MAR-2023,40473.85,40725.35,40341.95,40698.15,169749567,6383.35
28-FEB-2023,40302.7,40391.45,40073,40269.05,327753581,9520.98
27-FEB-2023,39820.4,40371.45,39745.4,40307.1,165150412,5365.34
24-FEB-2023,40259.1,40348.1,39818.9,39909.4,144558694,4833.92
23-FEB-2023,39983.7,40147.8,39600.25,40001.55,200503324,6811.87
22-FEB-2023,40494.15,40529.25,39899,39995.9,155197486,5140.17
21-FEB-2023,40784.9,40946.2,40508.25,40673.6,170243478,5366.66
20-FEB-2023,41221.55,41292.6,40580.1,40701.7,143706468,4339.85
17-FEB-2023,41514,41516.3,40882.7,41131.75,138786944,4900.54
16-FEB-2023,41925.7,41979.1,41521.95,41631.35,111728729,4230.25
15-FEB-2023,41674.6,41795.45,41455.6,41731.05,116292441,4794.75
14-FEB-2023,41410.45,41718,41195.75,41648.35,143113944,5148.89
13-FEB-2023,41563.5,41662.55,41157.9,41282.2,147007745,4421.7
10-FEB-2023,41452.4,41678.9,41424.9,41559.4,154961683,4306.83
09-FEB-2023,41634,41634,41252.95,41554.3,142932785,4543.06
08-FEB-2023,41542.05,41791.95,41403.05,41537.65,136467692,4246.96
07-FEB-2023,41513.1,41630.75,41095.1,41490.95,171891231,5338.11
06-FEB-2023,41530.15,41724.5,41261.2,41374.65,197815054,6236.79
03-FEB-2023,41019.35,41539.95,40609.75,41499.7,308813058,8557.81
02-FEB-2023,39943.35,40757.6,39761.45,40669.3,348474505,9232.69
01-FEB-2023,41115,42015.65,39490.5,40513,400074985,11946.33
31-JAN-2023,40563.85,40811.65,40167.7,40655.05,289909966,9622.43
30-JAN-2023,39856.15,40789.55,39419.8,40387.45,369850300,12301.62
27-JAN-2023,41382.35,41417.9,40148.8,40345.3,350772977,13724.56
25-JAN-2023,42703.6,42733.05,41540.3,41647.65,244652804,7956.45
24-JAN-2023,42994.45,43078.9,42615.65,42733.45,159456752,7347.84
23-JAN-2023,42891.45,43005.85,42727.7,42821.25,203642546,7013.34
20-JAN-2023,42516.05,42709.2,42366.15,42506.8,159095177,5617.05
19-JAN-2023,42416.3,42506.25,42234.9,42328.85,143433045,5565.12
18-JAN-2023,42271.8,42555.9,42119.65,42458,170541076,5719.55
17-JAN-2023,42241.2,42383.8,41861.1,42235.05,256323734,5944.25
16-JAN-2023,42622.5,42715.65,42066.55,42167.55,312318332,6279.06
13-JAN-2023,42171.25,42453.95,41885.6,42371.25,205541498,5518.45
12-JAN-2023,42238.5,42343.5,41742.95,42082.25,154082042,5338.12
11-JAN-2023,42071.85,42318,41729,42232.7,169795551,5453.72
10-JAN-2023,42642,42674.25,41835.75,42014.75,179299558,5565.75
09-JAN-2023,42404.85,42716.8,42186.55,42582.75,161810057,5778.46
06-JAN-2023,42649.7,42685.9,41877,42188.8,195122493,5618.4
05-JAN-2023,43073.05,43137.55,42298.6,42608.7,189076453,5545.57
04-JAN-2023,43417.5,43578.4,42858.65,42958.8,216794117,6213.83
03-JAN-2023,43151.45,43482.8,43148.45,43425.25,197035356,4510.22
02-JAN-2023,43038.25,43382.75,42961.75,43203.1,179810215,3452.51
30-DEC-2022,43401.7,43422.95,42833.1,42986.45,258702240,5286.02
29-DEC-2022,42684.9,43498.05,42489.8,43252.35,308306902,7453.46
28-DEC-2022,42733.6,43034.95,42694.85,42827.7,230529712,4905.6
27-DEC-2022,42827.75,42927.2,42394.15,42859.5,229631139,4073.47
26-DEC-2022,41716.35,42846.15,41569.45,42630.15,323172447,5974.96
23-DEC-2022,41951.35,42226.65,41597.65,41668.05,332589359,6127.39
22-DEC-2022,42864,42933.5,42231.35,42408.8,344822506,6097.08
21-DEC-2022,43525.75,43614.65,42363.8,42617.95,279419632,5778.76
20-DEC-2022,43152.65,43426.2,42955.4,43359.5,182311453,4264.89
19-DEC-2022,43346.35,43451.45,43110.3,43413.75,175567612,4221.46
16-DEC-2022,43261.75,43598.2,43080.55,43219.5,275179647,5995.42
15-DEC-2022,43940.1,44120.6,43379.1,43498.2,421905538,7710.55
14-DEC-2022,44078.6,44151.8,43987.95,44049.1,349177761,7562.04
13-DEC-2022,43793.7,43983.8,43767.75,43946.55,276976649,7597.74
12-DEC-2022,43455.85,43767.05,43378.8,43708.75,234232065,6013.63
09-DEC-2022,43765.3,43853.4,43361.7,43633.45,443547931,8630.38
08-DEC-2022,43142.25,43640.9,43095.3,43596.85,355690534,10491.54
07-DEC-2022,43157.35,43327.35,42948.45,43098.7,242863321,6447.09
06-DEC-2022,43093.9,43306.85,43076.4,43138.55,379223460,7344.98
05-DEC-2022,43269.35,43372.15,42985,43332.95,242584555,5584.12
02-DEC-2022,42976.7,43131.9,42937.8,43103.75,212807580,5452.61
