"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Mar-2023","EQ","1,083.40","1,096.90","1,069.40","1,067.50","1,085.45","1,085.25","1,087.13","1,203.00","877.35","31,31,614","3,40,44,79,874.60","82,359"
"29-Mar-2023","EQ","1,046.00","1,070.00","1,042.10","1,041.10","1,069.35","1,067.50","1,057.22","1,203.00","877.35","24,78,745","2,62,05,66,395.80","1,00,674"
"28-Mar-2023","EQ","1,056.80","1,063.80","1,039.35","1,051.50","1,042.00","1,041.10","1,049.94","1,203.00","877.35","29,65,015","3,11,30,93,992.40","84,117"
"27-Mar-2023","EQ","1,053.30","1,065.50","1,044.80","1,051.75","1,052.85","1,051.50","1,056.52","1,203.00","877.35","14,59,887","1,54,24,01,342.35","63,945"
"24-Mar-2023","EQ","1,073.00","1,090.00","1,047.05","1,065.90","1,050.00","1,051.75","1,060.03","1,209.90","877.35","26,88,253","2,84,96,23,447.90","1,36,946"
"23-Mar-2023","EQ","1,077.00","1,080.40","1,061.00","1,081.45","1,065.25","1,065.90","1,067.83","1,209.90","877.35","21,78,855","2,32,66,55,095.25","80,340"
"22-Mar-2023","EQ","1,091.95","1,105.75","1,079.05","1,083.90","1,082.00","1,081.45","1,087.88","1,209.90","877.35","13,82,329","1,50,38,10,823.45","53,984"
"21-Mar-2023","EQ","1,099.00","1,102.40","1,077.10","1,090.85","1,085.00","1,083.90","1,083.16","1,209.90","877.35","24,21,127","2,62,24,76,614.85","1,03,171"
"20-Mar-2023","EQ","1,105.00","1,108.30","1,086.25","1,108.45","1,094.00","1,090.85","1,091.87","1,209.90","877.35","20,66,169","2,25,59,92,930.25","89,776"
"17-Mar-2023","EQ","1,088.20","1,117.10","1,084.05","1,072.40","1,111.90","1,108.45","1,105.26","1,215.00","877.35","53,50,523","5,91,37,29,156.85","1,34,500"
"16-Mar-2023","EQ","1,083.95","1,087.55","1,069.65","1,079.65","1,072.15","1,072.40","1,077.46","1,215.00","877.35","18,12,907","1,95,33,41,323.10","97,334"
"15-Mar-2023","EQ","1,095.05","1,097.90","1,075.50","1,084.05","1,085.00","1,079.65","1,081.72","1,215.00","877.35","15,28,510","1,65,34,25,666.00","70,792"
"14-Mar-2023","EQ","1,098.55","1,103.40","1,066.00","1,098.60","1,085.00","1,084.05","1,081.21","1,215.00","877.35","36,83,544","3,98,26,96,683.95","1,04,803"
"13-Mar-2023","EQ","1,120.95","1,133.60","1,095.00","1,116.30","1,100.95","1,098.60","1,107.88","1,215.00","877.35","30,28,387","3,35,50,81,159.70","70,531"
"10-Mar-2023","EQ","1,105.00","1,118.15","1,105.00","1,116.65","1,114.00","1,116.30","1,112.07","1,215.00","877.35","11,93,681","1,32,74,62,585.10","74,665"
"09-Mar-2023","EQ","1,121.95","1,126.70","1,114.05","1,120.65","1,115.70","1,116.65","1,117.89","1,215.00","877.35","18,34,324","2,05,05,67,520.35","63,381"
"08-Mar-2023","EQ","1,112.00","1,124.00","1,107.30","1,126.70","1,121.00","1,120.65","1,117.51","1,215.00","877.35","32,09,393","3,58,65,33,072.35","84,619"
"06-Mar-2023","EQ","1,129.00","1,148.00","1,123.30","1,119.00","1,128.00","1,126.70","1,133.86","1,215.00","877.35","40,91,674","4,63,93,65,710.40","1,34,046"
"03-Mar-2023","EQ","1,115.00","1,129.70","1,111.05","1,105.95","1,119.90","1,119.00","1,122.59","1,215.00","877.35","32,53,621","3,65,24,87,506.30","78,860"
"02-Mar-2023","EQ","1,090.30","1,117.00","1,090.30","1,101.10","1,107.05","1,105.95","1,105.51","1,215.00","877.35","40,74,162","4,50,40,19,446.65","95,541"
"01-Mar-2023","EQ","1,077.35","1,104.00","1,077.35","1,077.60","1,100.00","1,101.10","1,095.38","1,215.00","877.35","16,55,100","1,81,29,56,336.60","77,974"
"28-Feb-2023","EQ","1,083.50","1,096.90","1,068.10","1,083.95","1,085.00","1,077.60","1,077.92","1,215.00","877.35","2,07,93,703","22,41,39,55,277.35","1,60,292"
"27-Feb-2023","EQ","1,090.00","1,090.00","1,076.00","1,094.85","1,082.70","1,083.95","1,082.03","1,215.00","877.35","18,34,553","1,98,50,46,185.20","74,276"
"24-Feb-2023","EQ","1,097.00","1,104.50","1,082.00","1,094.35","1,095.80","1,094.85","1,093.51","1,215.00","877.35","16,84,570","1,84,20,98,940.00","50,674"
"23-Feb-2023","EQ","1,104.80","1,111.95","1,092.50","1,092.60","1,094.65","1,094.35","1,100.16","1,215.00","877.35","21,39,983","2,35,43,32,881.65","77,977"
"22-Feb-2023","EQ","1,095.00","1,105.55","1,090.05","1,105.20","1,094.00","1,092.60","1,096.99","1,215.00","877.35","22,12,194","2,42,67,49,219.65","1,18,301"
"21-Feb-2023","EQ","1,121.00","1,122.05","1,103.10","1,115.70","1,105.00","1,105.20","1,111.77","1,215.00","877.35","13,13,278","1,46,00,68,420.70","61,305"
"20-Feb-2023","EQ","1,109.55","1,134.70","1,107.60","1,109.55","1,115.75","1,115.70","1,121.92","1,215.00","877.35","17,06,036","1,91,40,32,513.05","68,229"
"17-Feb-2023","EQ","1,121.70","1,121.70","1,107.55","1,128.15","1,109.95","1,109.55","1,112.87","1,215.00","877.35","19,58,807","2,17,99,00,485.45","72,982"
"16-Feb-2023","EQ","1,138.60","1,152.15","1,124.00","1,132.90","1,127.50","1,128.15","1,139.88","1,215.00","877.35","23,69,355","2,70,07,81,965.60","1,11,635"
"15-Feb-2023","EQ","1,125.00","1,134.60","1,119.60","1,125.45","1,132.10","1,132.90","1,127.70","1,215.00","877.35","16,48,954","1,85,95,33,039.65","50,296"
"14-Feb-2023","EQ","1,121.00","1,142.40","1,118.00","1,113.00","1,123.50","1,125.45","1,133.48","1,215.00","877.35","39,38,046","4,46,36,90,981.25","93,554"
"13-Feb-2023","EQ","1,121.25","1,121.25","1,105.00","1,115.65","1,113.00","1,113.00","1,111.98","1,215.00","877.35","20,09,185","2,23,41,67,850.90","55,252"
"10-Feb-2023","EQ","1,125.80","1,130.00","1,100.00","1,146.35","1,116.00","1,115.65","1,116.44","1,215.00","877.35","31,85,163","3,55,60,58,646.15","95,753"
"09-Feb-2023","EQ","1,144.00","1,152.00","1,138.00","1,145.00","1,143.90","1,146.35","1,147.12","1,215.00","877.35","15,01,083","1,72,19,19,846.80","64,833"
"08-Feb-2023","EQ","1,133.90","1,149.00","1,132.70","1,128.25","1,144.00","1,145.00","1,144.35","1,215.00","877.35","28,48,255","3,25,94,05,356.95","66,187"
"07-Feb-2023","EQ","1,147.85","1,153.00","1,125.90","1,145.70","1,128.90","1,128.25","1,135.18","1,215.00","877.35","19,31,191","2,19,22,41,382.60","45,888"
"06-Feb-2023","EQ","1,135.20","1,149.85","1,128.00","1,146.15","1,145.00","1,145.70","1,141.29","1,215.00","877.35","20,70,175","2,36,26,61,258.30","1,01,211"
"03-Feb-2023","EQ","1,154.00","1,156.65","1,138.60","1,149.60","1,145.00","1,146.15","1,146.37","1,215.00","877.35","18,14,055","2,07,95,70,969.00","77,381"
"02-Feb-2023","EQ","1,137.80","1,155.50","1,135.00","1,132.10","1,149.00","1,149.60","1,147.38","1,215.00","877.35","30,48,359","3,49,76,26,434.70","1,33,617"
"01-Feb-2023","EQ","1,137.00","1,137.00","1,114.45","1,122.20","1,127.40","1,132.10","1,128.63","1,215.00","877.35","23,93,911","2,70,18,44,990.25","86,744"
"31-Jan-2023","EQ","1,136.00","1,137.70","1,113.00","1,134.75","1,123.55","1,122.20","1,121.62","1,215.00","877.35","45,82,858","5,14,02,06,302.50","1,15,608"
"30-Jan-2023","EQ","1,115.60","1,139.95","1,105.80","1,115.60","1,135.00","1,134.75","1,126.00","1,215.00","877.35","35,08,427","3,95,04,91,624.50","1,23,886"
"27-Jan-2023","EQ","1,122.75","1,134.30","1,105.00","1,122.75","1,112.90","1,115.60","1,124.35","1,215.00","877.35","38,64,525","4,34,50,65,120.35","1,22,687"
"25-Jan-2023","EQ","1,134.85","1,134.85","1,116.75","1,137.85","1,121.45","1,122.75","1,123.98","1,215.00","877.35","26,92,236","3,02,60,13,455.55","1,11,721"
"24-Jan-2023","EQ","1,125.90","1,143.70","1,121.20","1,121.20","1,136.30","1,137.85","1,135.41","1,215.00","877.35","48,61,107","5,51,93,73,238.20","1,05,080"
"23-Jan-2023","EQ","1,111.00","1,122.90","1,108.15","1,107.80","1,122.00","1,121.20","1,114.32","1,215.00","877.35","16,96,834","1,89,08,13,072.50","64,903"
"20-Jan-2023","EQ","1,111.05","1,121.40","1,107.05","1,111.40","1,108.00","1,107.80","1,116.28","1,273.00","877.35","47,47,128","5,29,91,35,383.40","92,006"
"19-Jan-2023","EQ","1,102.35","1,113.35","1,098.75","1,115.15","1,108.05","1,111.40","1,110.11","1,273.00","877.35","22,98,287","2,55,13,54,056.30","82,245"
"18-Jan-2023","EQ","1,118.95","1,125.85","1,114.10","1,111.05","1,115.00","1,115.15","1,119.70","1,273.00","877.35","69,05,092","7,73,16,04,768.35","1,39,197"
"17-Jan-2023","EQ","1,097.90","1,113.95","1,095.00","1,093.70","1,111.00","1,111.05","1,109.84","1,273.00","877.35","43,90,338","4,87,25,59,053.40","1,44,343"
"16-Jan-2023","EQ","1,087.00","1,100.45","1,078.55","1,077.80","1,093.80","1,093.70","1,093.92","1,273.00","877.35","45,08,538","4,93,20,02,137.25","1,24,755"
"13-Jan-2023","EQ","1,043.90","1,084.00","1,041.00","1,071.65","1,077.00","1,077.80","1,063.52","1,359.40","877.35","82,53,765","8,77,80,70,462.75","1,64,436"
"12-Jan-2023","EQ","1,061.00","1,074.50","1,061.00","1,054.80","1,072.50","1,071.65","1,069.50","1,359.40","877.35","47,48,542","5,07,85,43,907.95","1,20,034"
"11-Jan-2023","EQ","1,069.00","1,079.60","1,050.55","1,063.85","1,058.00","1,054.80","1,063.91","1,359.40","877.35","35,94,167","3,82,38,63,428.70","97,897"
"10-Jan-2023","EQ","1,061.00","1,072.60","1,056.30","1,067.45","1,069.00","1,063.85","1,062.54","1,359.40","877.35","22,97,082","2,44,07,40,834.50","61,481"
"09-Jan-2023","EQ","1,044.95","1,071.00","1,040.05","1,032.80","1,064.00","1,067.45","1,060.28","1,359.40","877.35","45,62,242","4,83,72,55,672.15","1,62,320"
"06-Jan-2023","EQ","1,044.00","1,047.90","1,025.25","1,044.10","1,033.00","1,032.80","1,036.15","1,359.40","877.35","18,87,689","1,95,59,30,218.40","48,750"
"05-Jan-2023","EQ","1,041.80","1,049.80","1,033.10","1,036.60","1,043.60","1,044.10","1,042.99","1,359.40","877.35","22,94,943","2,39,35,96,289.40","77,635"
"04-Jan-2023","EQ","1,036.20","1,042.00","1,031.50","1,041.35","1,036.50","1,036.60","1,036.34","1,359.40","877.35","12,19,170","1,26,34,69,737.80","66,112"
"03-Jan-2023","EQ","1,039.00","1,045.80","1,033.50","1,039.45","1,041.50","1,041.35","1,041.49","1,359.40","877.35","24,84,372","2,58,74,57,931.55","63,081"
"02-Jan-2023","EQ","1,039.10","1,042.50","1,031.50","1,039.30","1,040.00","1,039.45","1,037.65","1,359.40","877.35","7,01,880","72,83,02,578.75","44,293"
"30-Dec-2022","EQ","1,050.00","1,055.25","1,034.30","1,044.45","1,037.00","1,039.30","1,042.13","1,359.40","877.35","18,60,560","1,93,89,50,019.00","45,340"
"29-Dec-2022","EQ","1,030.00","1,046.00","1,028.10","1,035.45","1,045.00","1,044.45","1,039.34","1,359.40","877.35","12,77,244","1,32,74,93,685.20","54,909"
"28-Dec-2022","EQ","1,030.00","1,038.30","1,026.50","1,036.35","1,035.50","1,035.45","1,034.94","1,359.40","877.35","13,97,806","1,44,66,50,834.25","73,188"
"27-Dec-2022","EQ","1,039.00","1,040.75","1,030.35","1,031.70","1,035.90","1,036.35","1,036.15","1,359.40","877.35","5,54,319","57,43,56,206.15","35,656"
"26-Dec-2022","EQ","1,031.00","1,041.75","1,029.00","1,030.60","1,031.90","1,031.70","1,033.61","1,359.40","877.35","16,80,715","1,73,71,96,270.00","35,872"
"23-Dec-2022","EQ","1,029.50","1,044.10","1,027.10","1,039.10","1,032.00","1,030.60","1,033.63","1,359.40","877.35","21,77,675","2,25,09,05,772.75","83,722"
"22-Dec-2022","EQ","1,046.00","1,054.65","1,033.60","1,040.35","1,036.00","1,039.10","1,041.95","1,359.40","877.35","26,23,451","2,73,34,96,511.00","90,875"
"21-Dec-2022","EQ","1,035.00","1,053.25","1,035.00","1,029.70","1,038.50","1,040.35","1,041.46","1,359.40","877.35","28,78,658","2,99,79,98,212.90","1,24,746"
"20-Dec-2022","EQ","1,027.00","1,033.35","1,011.50","1,033.25","1,032.40","1,029.70","1,024.20","1,359.40","877.35","26,29,849","2,69,34,80,432.95","73,347"
"19-Dec-2022","EQ","1,029.65","1,037.50","1,023.35","1,029.65","1,031.30","1,033.25","1,028.65","1,359.40","877.35","33,28,172","3,42,35,26,890.75","71,094"
"16-Dec-2022","EQ","1,030.00","1,046.45","1,022.35","1,042.35","1,031.70","1,029.65","1,033.92","1,359.40","877.35","51,59,215","5,33,42,33,596.45","75,545"
"15-Dec-2022","EQ","1,051.55","1,051.80","1,037.10","1,056.20","1,044.80","1,042.35","1,043.80","1,359.40","877.35","19,06,369","1,98,98,65,085.60","61,459"
"14-Dec-2022","EQ","1,045.00","1,057.30","1,045.00","1,044.70","1,055.00","1,056.20","1,053.58","1,359.40","877.35","24,25,507","2,55,54,66,756.35","85,480"
"13-Dec-2022","EQ","1,032.10","1,046.90","1,031.10","1,028.40","1,044.10","1,044.70","1,041.11","1,359.40","877.35","22,84,909","2,37,88,34,168.35","67,800"
"12-Dec-2022","EQ","1,025.00","1,039.15","1,012.45","1,027.50","1,029.80","1,028.40","1,026.70","1,359.40","877.35","42,75,785","4,38,99,65,757.35","1,31,414"
"09-Dec-2022","EQ","1,075.00","1,075.00","1,020.70","1,101.35","1,029.80","1,027.50","1,036.44","1,359.40","877.35","1,24,15,478","12,86,79,13,939.85","3,76,687"
"08-Dec-2022","EQ","1,113.75","1,113.75","1,098.80","1,105.90","1,099.50","1,101.35","1,103.18","1,359.40","877.35","17,52,350","1,93,31,54,990.85","96,453"
"07-Dec-2022","EQ","1,114.00","1,116.60","1,102.00","1,120.95","1,105.00","1,105.90","1,107.12","1,359.40","877.35","23,99,879","2,65,69,45,032.00","81,855"
"06-Dec-2022","EQ","1,121.60","1,125.00","1,107.00","1,130.85","1,121.45","1,120.95","1,115.47","1,359.40","877.35","28,07,894","3,13,21,30,999.80","74,078"
"05-Dec-2022","EQ","1,133.25","1,141.95","1,127.20","1,135.55","1,130.00","1,130.85","1,131.03","1,359.40","877.35","26,46,466","2,99,32,45,071.50","69,731"
"02-Dec-2022","EQ","1,136.40","1,140.40","1,123.85","1,136.40","1,140.00","1,135.55","1,131.24","1,359.40","877.35","29,44,923","3,33,14,02,240.45","94,701"
