Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,38803.3,39401,38803.3,39020.6,129560727,7347.72
27-MAR-2024,38629.9,39050.75,38599.8,38690.15,169000891,7766.94
26-MAR-2024,38096.45,38557.25,38058.9,38428.5,107770841,5206.96
22-MAR-2024,38314.05,38618.05,38107.95,38411.55,119522088,6535.16
21-MAR-2024,37984.05,38381.6,37961.4,38328.35,128455341,5739.66
20-MAR-2024,37391.5,37670.3,37058.9,37630.7,97845145,4399.33
19-MAR-2024,37592.4,37742.2,37053.85,37232.1,135203420,5158.68
18-MAR-2024,37497.25,37935.6,37284.5,37825.4,116466562,5323.91
15-MAR-2024,38042.8,38280.65,36854.95,37583.1,320947171,12110.84
14-MAR-2024,37417.9,38272.9,37261.85,38159.95,168681372,8468.08
13-MAR-2024,39628.6,39649.65,37209.95,37439.4,183325247,8037.81
12-MAR-2024,39863.25,39990.7,39539.1,39599.25,112042822,5287.54
11-MAR-2024,40251.4,40415.05,39761.9,39853.1,127133007,6199.89
07-MAR-2024,40475.7,40681.85,40182.8,40301.8,175264779,7984.7
06-MAR-2024,40558.7,40749.2,39747.4,40451.5,129878497,5474.08
05-MAR-2024,40468.95,40702.4,40264.2,40646.1,108619827,4658.78
04-MAR-2024,39927.05,40635.65,39895.55,40466.6,163607679,6862.41
01-MAR-2024,39059.05,39757.4,39050.1,39707.1,107005054,5087.45
29-FEB-2024,38911.45,39047.3,38567.65,38838,163856890,8231.46
28-FEB-2024,39624.9,39698.8,38652.35,38748.05,108024363,4595.2
27-FEB-2024,39617.75,39837.8,39461.55,39659.5,124336935,5618.98
26-FEB-2024,39590.7,39901.7,39414.9,39758.9,123786927,5856.01
23-FEB-2024,39696.4,39704.25,39375.35,39561.45,97260342,5172.21
22-FEB-2024,39388.6,39651.2,38723.3,39589.55,155745696,7669.66
21-FEB-2024,40067.65,40113.3,39133.45,39283.15,129634849,6394.5
20-FEB-2024,39859.1,40027.85,39609.65,39955.15,169427477,6849.29
19-FEB-2024,39866.1,40146.45,39704.05,39804.5,119542921,5620.8
16-FEB-2024,40140.3,40194.9,39627.05,39682.4,188889198,8239.85
15-FEB-2024,39444.95,40064.35,39344.75,39942.15,222606875,9262.49
14-FEB-2024,38230.6,39324.45,38087.45,39253.5,183800152,7473.3
13-FEB-2024,38271.45,38635,37820.4,38394.3,167566427,6814.87
12-FEB-2024,38937.4,38990,37946.15,38097.1,197551470,7483.15
09-FEB-2024,39571.5,39612.95,38386.1,39037.65,236390350,9423.64
08-FEB-2024,39218.45,39600.1,38901.95,39354.35,266405495,10406.76
07-FEB-2024,39025.9,39425.75,38768.15,38945.5,201940025,8731.22
06-FEB-2024,38646.6,38796,37968.5,38721.4,231419290,8126.71
05-FEB-2024,38395.45,39045.3,38028.85,38481.3,264930913,9224.26
02-FEB-2024,37139.05,38226.6,37122.75,38077.7,280865335,11165.18
01-FEB-2024,36978.3,37237.65,36714.05,36910.6,162584901,6777.81
31-JAN-2024,36470.75,36827.85,36460.3,36748,174797316,7243.72
30-JAN-2024,37221.95,37221.95,36346.25,36398.8,199408131,7968.17
29-JAN-2024,35542.25,37106.5,35468.4,37024.75,227637368,10661.72
25-JAN-2024,34979.85,35330,34876.8,35203.85,162284301,6199.99
24-JAN-2024,34440.25,34982.85,34104.5,34895.1,182754959,9275.4
23-JAN-2024,35845,35846.45,34124.55,34324.3,172956443,7521.32
20-JAN-2024,35116.65,35483.2,35031.15,35236.1,90697671,3881.11
19-JAN-2024,34881.05,35034.2,34679.4,34985.3,143301673,5448.27
18-JAN-2024,34532.6,34846.1,34066.5,34580.5,150756085,5600.41
17-JAN-2024,34945,35319.9,34718.25,34853.25,139167854,5366.85
16-JAN-2024,35456.2,35495.55,35062.2,35185.05,161324011,5828.27
15-JAN-2024,35190.85,35480.1,34807.65,35449.85,136968775,4943.13
12-JAN-2024,34910.2,35016.45,34571,34969.95,130593371,5401.57
11-JAN-2024,34529,34831.35,34493.65,34776.7,127445860,6683.79
10-JAN-2024,34188.75,34374.3,33791.65,34330.65,115381058,4974.16
09-JAN-2024,34379.1,34460.95,34184.6,34226.7,83038061,3222.91
08-JAN-2024,34374.6,34472.9,34046.65,34142.6,108223779,3999.21
05-JAN-2024,34387.7,34503.8,34067.25,34216.15,142673848,5166.34
04-JAN-2024,33974.9,34328.05,33863.2,34189.25,170610892,6281.06
03-JAN-2024,33902.55,34074.65,33657.1,33791.6,114880750,6511.81
02-JAN-2024,33632.1,33791.4,33238.15,33703.7,117303052,4551.81
01-JAN-2024,33562.8,33715.1,33464.45,33544.2,65755753,2396.54
29-DEC-2023,33678.9,33679.5,33287.35,33468.05,114829016,4601.95
28-DEC-2023,33345.6,33784.8,33262.95,33721.4,230449123,7986.17
27-DEC-2023,33473.4,33537.3,33091.4,33212.6,93643095,3994.28
26-DEC-2023,32955.05,33308.25,32918.4,33246.25,108160897,4196
22-DEC-2023,32863.25,33042.5,32573.4,32810.15,94473539,4849.82
21-DEC-2023,31925.25,32781.5,31787.05,32720.1,135419886,5507.27
20-DEC-2023,33236.4,33574.1,32077.35,32151.6,217059744,8364.76
19-DEC-2023,32754.25,33126.2,32496.45,33036.15,126782660,5763.95
18-DEC-2023,32640.05,32640.05,32393.85,32521.25,112906200,4929.68
15-DEC-2023,32313.2,32675.65,32095.75,32580.65,192187628,7043
14-DEC-2023,32085.8,32151.1,31924.65,32075.8,142007129,6295.86
13-DEC-2023,31653.35,31853.4,31495.15,31812.1,150715605,5724.23
12-DEC-2023,32027.8,32074.4,31481.65,31603.2,100552377,4244.58
11-DEC-2023,31971.9,32159.5,31910.85,32023.05,141168435,5231.95
08-DEC-2023,32391.85,32409.5,31542.55,31896.25,194065015,8148.91
07-DEC-2023,31867.75,32299.75,31833.6,32188.8,305940481,12223.8
06-DEC-2023,31750.8,32024.1,31525.35,31797.25,218912115,12818.67
05-DEC-2023,30526,31344.1,30305.1,31311.9,225781505,10514.98
04-DEC-2023,30407.45,30437.25,30084.1,30330.5,218050017,7839.28
01-DEC-2023,29431.5,29800.7,29421.45,29559.75,151253853,5540.84
30-NOV-2023,29314.85,29344.7,29056.05,29294.9,213892670,8410.42
29-NOV-2023,29493.35,29526.8,29262.65,29311.85,144013659,6218.62
28-NOV-2023,28736.45,29307.95,28670.7,29252.95,167570194,6501.89
24-NOV-2023,28625.8,28714.15,28534.25,28558.75,70449262,2274.26
23-NOV-2023,28545.4,28636.55,28410.95,28594.85,69282427,2509.15
22-NOV-2023,28371.65,28549.7,28313.15,28504.65,72256836,2664.19
21-NOV-2023,28450.45,28488.15,28269.45,28356.25,76796334,2600.64
20-NOV-2023,28340.4,28407.9,28211.15,28287.2,70115418,2172.22
17-NOV-2023,28459.85,28514.95,28284.85,28312.65,119045345,3217.08
16-NOV-2023,28369.2,28577.35,28306.95,28447.8,157914747,4851.56
15-NOV-2023,28430.3,28430.3,28193.45,28352.5,141597745,4602.8
13-NOV-2023,27919.75,28119.25,27848.55,28066.25,122126176,3452.34
12-NOV-2023,27999.75,28055,27916.45,27957.25,26682523,809.19
10-NOV-2023,27535.85,27753.75,27456.15,27738,78428174,2367.6
09-NOV-2023,27682.6,27688.4,27510.5,27541.8,110316711,3916.3
08-NOV-2023,27638.1,27677.5,27586.6,27622.85,133153853,3304.14
07-NOV-2023,27481,27580.2,27395.1,27508.35,135349118,3000.56
06-NOV-2023,27226.95,27466.3,27203.3,27448.9,118114192,3178.83
03-NOV-2023,27019.45,27161.75,27009.95,27085.8,75030383,2262.86
02-NOV-2023,26866.6,27002,26824.75,26960.8,122441585,3153.71
01-NOV-2023,26841.2,26908.65,26644.75,26679.2,102210075,2846.55
31-OCT-2023,26971.8,26992.1,26692.5,26785.05,78983883,2875.29
30-OCT-2023,26604.9,26890.6,26486,26840.9,67711701,3453.59
27-OCT-2023,26144.85,26601.9,26144.6,26522.65,59953024,2636.57
26-OCT-2023,26220,26230.35,25833.45,26045,78420641,3337.65
25-OCT-2023,26396.9,26612.3,26111.8,26328.5,82889710,3028.79
23-OCT-2023,26918.75,26949.5,26373.7,26449.65,55013162,2092.3
20-OCT-2023,27032.25,27105,26895.9,26955.7,69294311,2470.28
19-OCT-2023,27087.7,27185.3,26975.15,27089.05,63847198,2724.52
18-OCT-2023,27565.45,27585.15,27220.7,27246.4,68892191,2489.4
17-OCT-2023,27385.3,27530.15,27327.05,27510.25,71199257,2439.88
16-OCT-2023,27210.8,27357.75,27136.05,27258.05,68822256,2160.43
13-OCT-2023,27092.1,27262.85,27055.6,27201.35,66747855,2517.8
12-OCT-2023,27013.65,27266.8,27003.2,27176.05,85107172,3276.49
11-OCT-2023,26835.3,27052.25,26829.1,27002.5,72274005,2690.61
10-OCT-2023,26524.35,26787.4,26523.75,26751.9,77243081,2873.18
09-OCT-2023,26597.7,26605.6,26340.6,26472.95,68632156,2294.69
06-OCT-2023,26768.8,26805.45,26664.3,26731.65,48711457,1598.6
05-OCT-2023,26843.45,26859.15,26615.55,26688.25,82570867,2976.07
04-OCT-2023,26909.55,26911.1,26562.2,26738.45,87964880,3070.2
03-OCT-2023,27238,27252.4,26950.2,26973.05,87505914,2858.65
