Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
31-MAR-2023,8413.3,8490.9,8410.75,8466.8,285669896,4288.31
29-MAR-2023,8225.2,8390.45,8225.05,8373.5,278291817,4988.9
28-MAR-2023,8272.9,8283.95,8194.6,8231.1,239869746,3243.8
27-MAR-2023,8278.85,8325.05,8243.75,8255.85,225651098,3825.78
24-MAR-2023,8399.85,8402.95,8266.3,8283.75,275944074,3844.57
23-MAR-2023,8435.5,8452.45,8390.2,8399.9,179846673,3359.76
22-MAR-2023,8467.5,8490.8,8445.15,8451.7,308392865,3455.33
21-MAR-2023,8422.6,8447.55,8382.65,8433.6,205160706,3837.42
20-MAR-2023,8471.25,8487.85,8316.5,8392.2,236899897,3915.1
17-MAR-2023,8519.6,8535.8,8445.6,8487.7,298245017,5244.2
16-MAR-2023,8402.35,8483.8,8323.7,8455.05,294654933,4809.82
15-MAR-2023,8493.95,8512.75,8397.2,8411.4,211528150,3671.16
14-MAR-2023,8457.6,8472,8372.75,8423.5,238717825,4649.15
13-MAR-2023,8625.85,8649.35,8433.05,8455.55,214799938,4077.77
10-MAR-2023,8636.4,8636.4,8544.8,8627.95,186010199,3805.8
09-MAR-2023,8768.3,8785.65,8679.35,8690.95,179366473,3845.18
08-MAR-2023,8649.55,8753.25,8627.45,8745.1,216987273,5324.97
06-MAR-2023,8660.25,8724.85,8658.5,8680.65,225837383,3924.79
03-MAR-2023,8595.9,8640,8584.4,8623.75,251201020,4278.37
02-MAR-2023,8567.1,8581.5,8533.85,8549,184956983,3541.06
01-MAR-2023,8474.1,8575.5,8470.9,8567.7,268626842,4139.74
28-FEB-2023,8444.4,8483.4,8426.45,8456.7,266979185,5591.14
27-FEB-2023,8467.3,8468.7,8338.2,8418,274758063,4235.18
24-FEB-2023,8531.85,8564.8,8463.95,8476.95,329348466,4686.28
23-FEB-2023,8523.25,8531.3,8422.25,8507.45,479657134,6014.65
22-FEB-2023,8580.05,8598.85,8491.1,8519.75,276375212,5091.29
21-FEB-2023,8672.35,8675.5,8599.85,8609.95,219705292,4179.8
20-FEB-2023,8680.85,8702.4,8614,8647.3,303656451,4164.45
17-FEB-2023,8722.7,8732.4,8644.7,8658.85,255755757,4064.78
16-FEB-2023,8723.15,8774.55,8707.4,8749.7,213646147,4717.39
15-FEB-2023,8614.3,8698.2,8602.85,8688.85,169783291,4888.18
14-FEB-2023,8637.7,8654.3,8564.1,8627.35,225864307,4636.59
13-FEB-2023,8742.8,8756.3,8617.35,8629.5,221300452,8185.63
10-FEB-2023,8733.1,8789.6,8708.3,8771.75,240428429,5649.54
09-FEB-2023,8760.3,8778.75,8719.3,8758.55,253217070,5243.12
08-FEB-2023,8672.25,8747.65,8639.8,8740.45,290942899,4416.72
07-FEB-2023,8680.2,8692.85,8610.6,8659.5,413787832,4418.46
06-FEB-2023,8611.6,8684.05,8601.85,8667.3,881070043,5320.94
03-FEB-2023,8618.95,8632.8,8469.4,8604.05,411594480,4875.39
02-FEB-2023,8528.55,8630.2,8489.25,8580.65,441041034,6328.21
01-FEB-2023,8714.3,8801.6,8402.55,8554.7,511517606,8291.84
31-JAN-2023,8511.55,8654.95,8473.05,8638,398500551,5967.12
30-JAN-2023,8466.4,8563.85,8410.95,8476.95,458867036,5386.55
27-JAN-2023,8629.25,8636.8,8374.55,8463,449216868,6351.29
25-JAN-2023,8724.35,8724.35,8576.85,8604.1,345971386,5473.2
24-JAN-2023,8801.95,8804.25,8720.9,8733.45,259132659,4784.9
23-JAN-2023,8717.55,8797.2,8690.8,8788.5,332612060,5468.12
20-JAN-2023,8763.75,8770.45,8677.5,8687.15,238272041,5126.47
19-JAN-2023,8734.55,8762.75,8706.9,8755.35,364526205,5189.63
18-JAN-2023,8715.5,8773.05,8700.5,8754.1,248867874,4596.11
