date,open,high,low,close,volume
2023-04-03,3224.95,3224.95,3173.75,3200.0,1521830
2023-04-05,3185.5,3264.35,3185.5,3239.8,2655065
2023-04-06,3225.0,3257.35,3215.0,3220.7,1703464
2023-04-10,3220.0,3272.0,3215.0,3263.4,2203187
2023-04-11,3264.0,3272.95,3192.15,3213.8,2348779
2023-04-12,3227.95,3260.95,3199.0,3241.65,2417727
2023-04-13,3210.0,3230.0,3180.0,3188.85,4174070
2023-04-17,3134.1,3163.4,3070.25,3139.5,5505048
2023-04-18,3154.95,3156.85,3110.6,3130.75,2617302
2023-04-19,3130.75,3140.0,3071.5,3089.6,3298034
2023-04-20,3090.0,3113.0,3078.0,3104.8,2419999
2023-04-21,3110.0,3164.45,3100.8,3160.85,1929184
2023-04-24,3151.1,3180.95,3126.15,3174.8,1640676
2023-04-25,3183.0,3191.2,3147.5,3176.0,2024090
2023-04-26,3181.0,3208.4,3181.0,3198.15,2000029
2023-04-27,3185.0,3199.2,3170.65,3187.95,2434446
2023-04-28,3200.4,3227.25,3196.25,3219.25,2931312
2023-05-02,3235.0,3235.0,3210.0,3219.4,2321159
2023-05-03,3216.0,3216.0,3173.15,3179.9,2468285
2023-05-04,3180.15,3224.45,3178.0,3220.7,1953253
2023-05-05,3220.0,3244.0,3210.05,3230.7,1710027
2023-05-08,3245.0,3254.85,3231.3,3250.6,928235
2023-05-09,3252.6,3298.0,3246.0,3283.25,1107375
2023-05-10,3290.0,3306.5,3266.05,3286.8,1559987
2023-05-11,3309.0,3309.7,3272.0,3282.15,1719623
2023-05-12,3279.15,3290.0,3260.0,3274.3,1027479
2023-05-15,3284.0,3292.0,3248.35,3255.05,1150390
2023-05-16,3256.2,3285.0,3250.45,3258.15,986306
2023-05-17,3255.95,3280.0,3198.25,3208.7,1588815
2023-05-18,3225.95,3228.95,3195.0,3199.85,1369364
2023-05-19,3210.0,3234.5,3203.05,3222.85,1152449
2023-05-22,3230.0,3308.45,3217.05,3298.7,1333243
2023-05-23,3306.0,3327.95,3290.1,3297.05,1687418
2023-05-24,3276.0,3317.2,3276.0,3303.35,1016555
2023-05-25,3294.0,3306.0,3267.1,3293.5,1374917
2023-05-26,3293.5,3338.65,3291.0,3328.9,1791115
2023-05-29,3360.8,3372.0,3312.0,3320.35,1210372
2023-05-30,3315.0,3326.95,3301.35,3316.2,1344224
2023-05-31,3309.0,3327.7,3265.15,3289.5,5815424
2023-06-01,3314.0,3340.0,3297.5,3324.0,1177314
2023-06-02,3326.25,3335.9,3297.45,3305.6,2030661
2023-06-05,3315.0,3327.0,3285.05,3288.9,1861468
2023-06-06,3280.0,3288.85,3220.6,3232.3,2022849
2023-06-07,3253.0,3278.85,3241.0,3274.9,1567196
2023-06-08,3261.0,3270.0,3233.0,3236.45,1759366
2023-06-09,3245.0,3250.0,3205.35,3209.3,1775689
2023-06-12,3215.0,3254.4,3211.0,3246.9,2324605
2023-06-13,3260.0,3265.0,3239.0,3243.7,1371928
2023-06-14,3243.7,3255.85,3225.85,3251.05,1658544
2023-06-15,3245.3,3247.45,3210.0,3216.3,2273810
2023-06-16,3197.0,3199.4,3156.0,3174.9,4156189
2023-06-19,3190.0,3214.9,3175.0,3210.4,1468186
2023-06-20,3214.0,3232.5,3201.05,3227.7,1528452
2023-06-21,3250.0,3261.4,3223.95,3258.2,1645987
2023-06-22,3260.0,3267.65,3230.1,3238.5,1529603
2023-06-23,3237.3,3249.4,3209.15,3216.35,1119505
2023-06-26,3205.0,3213.9,3173.0,3189.65,1978803
2023-06-27,3202.0,3209.65,3182.3,3197.35,863542
2023-06-28,3208.0,3230.95,3193.4,3215.45,1575872
2023-06-30,3220.0,3310.0,3214.1,3302.25,2672406
2023-07-03,3314.3,3318.8,3268.75,3272.3,1687264
2023-07-04,3290.0,3315.0,3277.3,3308.85,1656681
2023-07-05,3320.0,3329.0,3305.0,3319.95,1453008
2023-07-06,3306.55,3328.45,3302.0,3322.9,1848238
2023-07-07,3302.0,3356.9,3302.0,3329.25,1789326
2023-07-10,3324.75,3324.75,3265.2,3271.95,1407431
2023-07-11,3295.0,3295.0,3260.8,3272.4,1110172
2023-07-12,3280.95,3289.15,3250.1,3259.9,1515240
2023-07-13,3284.0,3367.45,3272.75,3340.55,4585146
2023-07-14,3365.0,3524.85,3352.0,3514.65,6306101
2023-07-17,3510.0,3549.9,3477.05,3491.7,2743228
2023-07-18,3476.0,3524.0,3465.0,3496.85,2600090
2023-07-19,3500.0,3516.85,3445.65,3470.05,2405370
2023-07-20,3453.1,3478.9,3436.05,3463.3,1715404
2023-07-21,3404.05,3434.9,3359.05,3368.3,3770223
2023-07-24,3381.0,3413.45,3372.1,3394.75,1680132
2023-07-25,3397.5,3406.8,3380.2,3399.15,1272980
2023-07-26,3400.35,3420.85,3385.0,3388.3,1066803
2023-07-27,3394.95,3411.65,3385.05,3396.9,1701769
2023-07-28,3385.0,3393.7,3331.0,3355.4,2599831
2023-07-31,3364.4,3426.65,3360.9,3421.45,2743678
2023-08-01,3415.0,3460.0,3415.0,3452.05,1956167
2023-08-02,3434.95,3446.4,3413.6,3440.65,1914899
2023-08-03,3420.0,3433.25,3368.0,3399.95,2026351
2023-08-04,3401.25,3471.0,3401.25,3443.55,2248493
2023-08-07,3453.95,3488.0,3441.25,3484.05,1853889
2023-08-08,3484.05,3489.95,3456.6,3470.6,1634225
2023-08-09,3464.9,3467.0,3425.05,3462.5,1794589
2023-08-10,3450.0,3464.9,3430.05,3442.1,1096701
2023-08-11,3438.1,3466.65,3414.0,3448.8,1679974
2023-08-14,3440.7,3455.0,3411.0,3449.85,1190425
2023-08-16,3450.0,3466.0,3435.2,3458.4,1328445
2023-08-17,3455.0,3460.8,3413.2,3435.75,1843241
2023-08-18,3410.0,3410.0,3356.5,3367.1,2526749
2023-08-21,3375.0,3409.75,3372.0,3401.65,1375579
2023-08-22,3400.0,3411.0,3365.05,3382.15,1222012
2023-08-23,3388.0,3402.0,3376.0,3398.25,1330046
2023-08-24,3408.0,3413.05,3378.1,3387.75,1152881
2023-08-25,3375.0,3385.8,3350.25,3381.3,1158046
2023-08-28,3394.0,3394.0,3360.1,3375.55,1037485
2023-08-29,3381.05,3389.55,3365.0,3376.15,944517
2023-08-30,3398.0,3408.1,3383.05,3390.95,1188200
2023-08-31,3401.0,3417.4,3343.65,3356.8,3417652
2023-09-01,3366.0,3389.0,3356.8,3379.2,1277950
2023-09-04,3378.0,3432.85,3370.05,3418.5,1828332
2023-09-05,3420.0,3447.0,3405.15,3429.35,1501842
