date,open,high,low,close,volume
2023-04-03,577.0,579.65,566.6,570.3,1707849
2023-04-05,571.05,574.9,564.55,566.65,1555308
2023-04-06,568.6,572.75,566.65,569.9,1559125
2023-04-10,570.15,583.0,570.15,581.3,1300834
2023-04-11,583.0,589.0,578.05,584.9,1285557
2023-04-12,584.9,588.5,579.15,584.4,1406652
2023-04-13,582.0,594.0,582.0,592.65,1102409
2023-04-17,592.65,597.6,584.15,596.65,974707
2023-04-18,597.95,604.9,596.2,603.55,1216107
2023-04-19,606.9,613.85,600.5,606.7,1814835
2023-04-20,606.85,609.9,599.0,601.75,698282
2023-04-21,602.0,603.85,594.7,603.0,830247
2023-04-24,603.0,607.5,597.3,603.4,870486
2023-04-25,603.95,611.0,600.0,607.9,977657
2023-04-26,606.0,613.0,604.55,608.2,1087979
2023-04-27,608.2,610.15,605.0,606.1,702044
2023-04-28,610.1,619.65,608.4,617.8,1552366
2023-05-02,620.0,631.0,618.2,626.95,2483827
2023-05-03,626.45,632.8,622.6,627.7,1461740
2023-05-04,627.7,635.55,627.55,631.6,1244544
2023-05-05,630.75,633.7,624.0,625.4,878399
2023-05-08,628.0,630.6,625.4,628.1,659593
2023-05-09,628.1,633.4,620.0,622.6,935395
2023-05-10,623.0,625.75,618.0,624.3,650253
2023-05-11,625.05,627.65,624.3,626.6,530789
2023-05-12,626.6,637.2,625.05,628.45,1240961
2023-05-15,625.0,635.6,625.0,632.35,927921
2023-05-16,632.05,636.7,624.3,626.15,676721
2023-05-17,626.15,629.0,618.0,622.75,671895
2023-05-18,625.0,627.8,613.0,614.85,723251
2023-05-19,614.85,617.0,604.1,610.35,847752
2023-05-22,610.35,624.9,607.1,623.5,1083528
2023-05-23,628.4,636.3,622.0,624.35,1199438
2023-05-24,624.0,626.85,618.0,618.9,659056
2023-05-25,619.5,621.5,616.0,618.55,595504
2023-05-26,621.8,625.7,619.3,624.35,1185212
2023-05-29,630.0,647.0,626.25,645.75,4019467
2023-05-30,637.0,653.7,627.3,643.75,10121546
2023-05-31,643.0,650.2,640.0,649.5,2740993
2023-06-01,650.1,659.1,647.45,649.5,2453298
2023-06-02,653.4,654.75,643.55,645.45,1537757
2023-06-05,636.0,647.35,636.0,643.65,1619948
2023-06-06,643.8,646.45,637.05,643.0,882889
2023-06-07,644.05,657.8,643.95,652.9,2220779
2023-06-08,655.0,657.8,642.4,644.0,1224083
2023-06-09,646.0,646.95,638.9,640.15,745628
2023-06-12,641.95,647.0,638.6,645.9,864306
2023-06-13,641.35,650.5,641.35,647.6,956702
2023-06-14,646.85,649.75,642.05,643.5,785495
2023-06-15,643.5,649.0,641.5,643.0,765612
2023-06-16,645.0,670.65,643.2,665.0,5271115
2023-06-19,662.0,675.0,660.2,667.85,4493884
2023-06-20,668.5,670.9,660.2,664.05,1519178
2023-06-21,664.05,667.5,659.0,662.35,1006572
2023-06-22,663.45,666.7,641.8,644.9,1913224
2023-06-23,644.9,646.0,625.6,627.8,1975633
2023-06-26,625.0,633.7,621.65,632.45,914109
2023-06-27,635.5,636.5,629.15,630.6,871962
2023-06-28,633.0,634.5,626.55,628.8,1192576
2023-06-30,632.25,641.5,630.25,635.1,1309614
2023-07-03,635.8,640.05,632.0,633.1,782176
2023-07-04,634.0,636.75,627.05,628.7,939181
2023-07-05,629.7,633.0,627.1,630.6,690230
2023-07-06,628.0,633.35,627.6,632.3,824834
2023-07-07,632.3,636.45,627.0,630.65,1054909
2023-07-10,631.75,632.0,614.35,615.9,1947356
2023-07-11,616.25,624.55,615.0,619.0,1079845
2023-07-12,619.85,622.45,615.1,620.7,957020
2023-07-13,623.0,626.6,614.5,617.75,966834
2023-07-14,619.9,623.7,616.6,622.85,757598
2023-07-17,622.05,629.95,622.0,625.55,1006467
2023-07-18,626.0,628.05,620.0,622.85,763870
2023-07-19,623.0,627.5,622.8,625.5,655382
2023-07-20,624.9,626.95,622.2,625.15,635393
2023-07-21,624.0,630.4,620.4,623.1,1112376
2023-07-24,623.2,627.0,618.35,620.3,875139
2023-07-25,621.5,625.0,615.6,619.45,842704
2023-07-26,619.45,624.0,618.6,620.0,781540
2023-07-27,622.9,624.9,617.05,619.5,904121
2023-07-28,620.0,631.95,618.2,630.65,1464610
2023-07-31,632.5,642.65,631.05,640.65,2235245
2023-08-01,642.0,648.9,635.65,642.75,2000678
2023-08-02,643.0,644.25,630.6,637.75,1033405
2023-08-03,637.95,662.6,635.1,660.2,4563922
2023-08-04,666.5,668.9,651.6,653.55,2364709
2023-08-07,658.0,658.5,649.15,653.8,1052162
2023-08-08,656.8,658.3,640.65,642.6,1180459
2023-08-09,645.8,653.3,640.35,648.65,1792990
2023-08-10,648.95,648.95,635.1,646.45,2510995
2023-08-11,647.0,679.7,645.45,662.5,8325028
2023-08-14,663.65,663.65,638.55,649.65,2976922
2023-08-16,649.65,649.8,639.1,641.35,1177223
2023-08-17,643.4,652.2,639.0,649.1,1611226
2023-08-18,647.5,656.9,641.05,643.4,1353750
2023-08-21,643.4,652.0,640.4,650.5,1495106
2023-08-22,651.1,656.5,647.25,651.7,1048022
2023-08-23,653.0,659.6,648.55,649.65,1078844
2023-08-24,652.05,664.5,652.0,659.6,2183330
2023-08-25,660.4,670.0,651.0,658.25,3014348
2023-08-28,659.0,684.1,656.15,678.1,5261237
2023-08-29,684.0,686.0,671.25,672.5,2900392
2023-08-30,678.0,682.8,671.0,672.55,1632153
2023-08-31,677.0,678.8,668.8,672.0,1663214
2023-09-01,675.75,689.65,672.55,688.35,4146601
2023-09-04,693.55,708.0,692.05,703.25,6419929
2023-09-05,707.85,711.45,696.0,701.9,2678643
2023-09-06,701.9,715.9,696.05,708.5,3235426
2023-09-07,707.9,713.55,704.45,707.25,1886439
2023-09-08,710.0,758.0,707.3,725.55,13572298
2023-09-11,733.0,733.4,716.15,717.4,5096622
2023-09-12,720.95,722.3,686.0,688.2,4330553
2023-09-13,688.95,694.7,680.55,687.0,2241575
2023-09-14,698.0,704.3,691.65,696.4,2678027
2023-09-15,701.95,702.85,694.0,695.65,1614958
2023-09-18,696.05,697.85,688.0,689.35,1032981
2023-09-20,688.25,688.65,675.55,678.55,1353493
2023-09-21,677.9,683.45,668.0,671.3,1346593
2023-09-22,673.0,675.4,661.0,663.35,1386201
2023-09-25,667.0,692.2,667.0,689.2,4487685
2023-09-26,689.2,691.5,680.05,681.55,1055108
2023-09-27,681.55,686.5,674.1,682.0,1155826
2023-09-28,683.7,688.4,670.0,672.1,1109275
2023-09-29,676.1,683.35,673.8,680.85,846290
2023-10-03,680.65,707.4,676.8,703.55,3635424
2023-10-04,699.95,709.45,697.15,704.05,2562621
2023-10-05,706.0,726.5,705.65,719.45,5547419
2023-10-06,721.95,722.65,714.0,719.8,1644795
2023-10-09,709.0,710.0,698.25,702.85,1760290
2023-10-10,704.0,711.6,703.0,705.7,1371262
2023-10-11,710.0,711.8,703.45,704.6,946589
