date,open,high,low,close,volume
2022-04-01,2363.2,2464.7,2349.0,2452.3,2651324
2022-04-04,2570.5,2933.8,2570.5,2680.05,34117717
2022-04-05,2677.4,2680.0,2614.1,2623.7,6178848
2022-04-06,2597.4,2604.0,2530.1,2536.05,5102935
2022-04-07,2511.6,2519.9,2458.15,2462.7,8094839
2022-04-08,2490.0,2490.0,2427.6,2458.25,9568303
2022-04-11,2440.0,2454.0,2421.1,2424.7,4173679
2022-04-12,2411.2,2443.7,2399.0,2425.7,5390147
2022-04-13,2447.0,2447.0,2371.55,2378.5,4257122
2022-04-18,2318.6,2322.0,2257.05,2263.5,9158650
2022-04-19,2264.1,2270.9,2111.25,2140.2,20050720
2022-04-20,2154.0,2188.9,2144.0,2180.2,5434844
2022-04-21,2197.7,2246.6,2181.2,2230.65,5419406
2022-04-22,2190.05,2242.3,2186.0,2206.4,4840122
2022-04-25,2187.9,2221.0,2156.0,2210.5,2999737
2022-04-26,2230.0,2239.0,2205.0,2230.2,2514191
2022-04-27,2214.7,2238.9,2206.0,2218.7,2560457
2022-04-28,2237.4,2237.4,2206.75,2224.0,3424941
2022-04-29,2230.0,2283.5,2215.0,2229.7,5492816
2022-05-02,2194.1,2270.0,2184.0,2264.0,3878583
2022-05-04,2271.3,2278.0,2192.0,2206.95,4754704
2022-05-05,2230.35,2251.9,2207.0,2215.4,2661611
2022-05-06,2170.0,2190.0,2142.75,2150.65,3862931
2022-05-09,2115.0,2181.0,2113.6,2168.3,3969231
2022-05-10,2163.45,2221.8,2160.25,2201.3,4205193
2022-05-11,2228.2,2237.85,2186.35,2219.1,3499620
2022-05-12,2190.0,2204.0,2143.0,2150.45,4361039
2022-05-13,2165.4,2190.95,2125.25,2132.95,4905109
2022-05-16,2134.5,2182.55,2130.55,2172.1,1745877
2022-05-17,2180.0,2196.6,2160.75,2190.55,3079155
2022-05-18,2195.0,2218.0,2178.0,2184.55,2472415
2022-05-19,2132.0,2158.95,2122.65,2136.3,3867697
2022-05-20,2165.0,2212.0,2152.3,2201.6,3954167
