date,open,high,low,close,volume
2022-04-01,1310.0,1340.9,1305.45,1317.1,5532159
2022-04-04,1317.1,1354.0,1314.45,1341.9,6967032
2022-04-05,1348.45,1358.0,1329.25,1344.9,6329642
2022-04-06,1350.0,1386.7,1346.8,1370.75,11409754
2022-04-07,1377.0,1381.0,1341.0,1349.5,5565064
2022-04-08,1360.95,1379.95,1356.25,1370.75,5228771
2022-04-11,1370.7,1384.0,1353.0,1357.9,4477882
2022-04-12,1353.0,1359.95,1296.1,1320.25,6919168
2022-04-13,1334.95,1346.0,1315.0,1319.5,4493780
2022-04-18,1331.9,1358.05,1328.85,1339.1,8070042
2022-04-19,1352.6,1366.65,1309.0,1326.6,6477219
2022-04-20,1329.7,1336.45,1303.05,1314.25,5410021
2022-04-21,1316.0,1322.75,1285.85,1302.15,6669028
2022-04-22,1301.6,1311.55,1273.75,1277.55,5584823
2022-04-25,1250.0,1262.95,1212.8,1220.35,7231046
2022-04-26,1235.0,1241.7,1225.0,1233.6,4481271
2022-04-27,1227.0,1255.0,1210.4,1246.7,7120974
2022-04-28,1259.5,1268.65,1243.0,1260.85,5129583
2022-04-29,1268.0,1291.7,1265.65,1271.05,5717352
2022-05-02,1257.0,1302.75,1248.75,1295.2,5442617
2022-05-04,1327.3,1330.0,1254.5,1261.35,13837402
2022-05-05,1280.0,1316.5,1278.0,1284.25,8733816
2022-05-06,1268.0,1290.0,1243.0,1283.7,6925676
2022-05-09,1260.0,1274.2,1244.0,1252.25,5055297
2022-05-10,1251.0,1254.65,1158.55,1164.9,14553742
2022-05-11,1175.0,1190.9,1123.4,1165.7,10706315
2022-05-12,1156.9,1162.4,1103.0,1117.7,9419161
2022-05-13,1135.0,1151.8,1092.0,1097.0,8292441
2022-05-16,1119.0,1134.8,1094.0,1103.5,6266527
2022-05-17,1124.0,1197.2,1115.35,1188.7,11287601
2022-05-18,1197.0,1209.0,1175.0,1180.25,8157580
2022-05-19,1151.0,1154.9,1115.2,1122.15,6654563
2022-05-20,1162.35,1178.4,1141.2,1170.6,6552750
2022-05-23,1097.0,1097.0,1001.55,1022.95,27388346
2022-05-24,1031.0,1039.9,1002.0,1006.35,12311666
2022-05-25,1006.35,1018.35,991.8,999.1,9934340
2022-05-26,1007.0,1067.55,995.25,1052.0,15053673
2022-05-27,1062.5,1067.65,1032.0,1043.5,7477220
2022-05-30,1059.0,1063.8,1043.5,1047.45,7270159
2022-05-31,1045.0,1071.9,1037.0,1055.65,12124885
2022-06-01,1065.5,1079.0,1053.3,1063.55,9405529
2022-06-02,1067.75,1084.75,1059.1,1081.55,7917704
2022-06-03,1092.0,1092.8,1065.0,1067.3,5395486
2022-06-06,1065.0,1082.9,1049.2,1078.1,5726249
2022-06-07,1067.0,1081.5,1063.55,1068.5,4334157
2022-06-08,1081.0,1088.9,1074.05,1086.75,6473434
2022-06-09,1074.95,1087.25,1041.2,1044.85,9854781
2022-06-10,1030.0,1031.4,1010.65,1023.7,9522563
2022-06-13,1004.3,1012.0,990.0,991.95,8223575
2022-06-14,988.25,1013.7,985.55,996.15,7720260
2022-06-15,953.95,974.25,950.65,959.55,9244333
2022-06-16,975.0,975.0,898.2,901.7,12274105
2022-06-17,898.0,927.4,895.5,906.7,12129026
2022-06-20,905.0,905.0,842.65,861.4,13986689
2022-06-21,875.0,895.5,864.0,884.8,12452697
2022-06-22,872.95,873.85,835.7,838.1,10987739
2022-06-23,840.0,855.95,827.0,841.3,11151584
2022-06-24,850.0,864.75,844.65,852.85,8543381
