date,open,high,low,close,volume
2024-04-01,156.8,163.9,156.5,163.15,84583929
2024-04-02,162.95,165.5,161.8,164.65,69533405
2024-04-03,164.65,166.25,163.1,163.65,50938559
2024-04-04,165.55,165.95,161.0,163.4,61094750
2024-04-05,163.9,164.15,160.8,163.35,44668121
2024-04-08,166.95,166.95,164.2,165.2,48255703
2024-04-09,166.0,169.8,165.2,166.0,63884687
2024-04-10,167.3,169.2,164.5,165.05,64134758
2024-04-12,166.0,166.0,163.0,163.5,55317636
2024-04-15,161.8,164.7,158.6,160.85,66426404
2024-04-16,160.85,162.45,159.0,160.05,41391261
2024-04-18,160.9,164.0,159.15,160.05,68093672
2024-04-19,160.0,162.5,157.3,162.1,60078229
2024-04-22,163.8,164.7,161.5,161.85,39304790
2024-04-23,163.5,163.5,160.8,161.15,30295177
2024-04-24,162.45,166.9,161.45,165.55,59894921
2024-04-25,165.4,168.0,164.15,167.7,50128523
2024-04-26,168.0,170.7,165.25,165.8,65355111
2024-04-29,168.2,169.6,166.9,167.4,44906151
2024-04-30,168.4,168.4,164.5,165.0,55043389
2024-05-02,165.0,168.9,165.0,167.35,69320283
2024-05-03,168.95,170.75,165.15,166.5,62573586
2024-05-06,167.95,168.65,164.7,167.6,37621296
2024-05-07,167.95,167.95,162.3,164.25,43611824
2024-05-08,164.2,167.1,163.5,166.05,30128705
2024-05-09,165.95,166.7,161.5,161.9,30223088
2024-05-10,163.2,164.35,161.85,162.25,31472419
2024-05-13,162.45,164.5,158.05,163.85,36561003
2024-05-14,164.1,166.55,163.5,164.95,46261468
2024-05-15,164.95,167.55,164.95,165.6,29601304
2024-05-16,167.25,168.0,162.3,165.9,41126570
2024-05-17,166.6,168.45,165.45,167.35,39181277
2024-05-18,168.0,168.3,167.3,167.9,3601856
2024-05-21,168.5,175.2,167.95,174.35,84833644
2024-05-22,175.45,175.5,171.5,173.3,42919832
2024-05-23,173.05,175.8,170.5,175.5,49377680
2024-05-24,174.95,177.55,174.15,174.85,38674485
2024-05-27,177.7,177.7,174.85,175.5,30410585
2024-05-28,175.9,177.5,173.45,174.9,39208456
2024-05-29,174.75,176.0,173.5,174.25,36575550
2024-05-30,172.0,172.0,163.35,164.15,108813875
2024-05-31,166.05,167.95,164.0,167.2,83713848
2024-06-03,173.25,175.0,168.85,174.25,86397540
2024-06-04,174.5,174.65,148.15,158.95,125042158
2024-06-05,162.15,169.6,159.0,169.2,60098501
2024-06-06,170.0,174.7,169.4,172.05,57920819
2024-06-07,172.0,179.65,170.8,178.9,84319867
2024-06-10,180.21,182.1,177.36,180.29,74286848
2024-06-11,180.5,183.75,180.5,181.33,55555544
2024-06-12,182.25,183.87,181.5,182.23,33304643
2024-06-13,183.4,184.1,180.51,182.56,36669164
2024-06-14,182.95,183.5,181.4,183.15,28509237
2024-06-18,183.8,184.6,180.6,181.12,35032118
2024-06-19,182.45,182.49,179.31,180.02,27476795
2024-06-20,181.6,182.95,179.37,182.28,38837494
2024-06-21,179.4,180.9,178.18,179.94,65494855
2024-06-24,177.44,178.95,175.1,177.96,47597307
2024-06-25,177.99,179.0,175.25,175.68,30599989
2024-06-26,175.68,176.0,171.84,172.56,44006436
2024-06-27,172.56,174.95,171.8,174.16,49767976
2024-06-28,174.17,177.1,173.57,174.01,37521949
2024-07-01,174.5,175.99,173.51,174.07,27807688
2024-07-02,174.47,175.75,173.6,174.54,33359495
2024-07-03,174.54,176.88,174.4,176.37,29090492
2024-07-04,177.0,178.19,175.82,176.29,29504744
2024-07-05,176.2,176.2,173.4,174.71,38123217
2024-07-08,174.6,175.47,172.09,172.28,31479861
2024-07-09,173.6,173.7,171.51,171.8,25127904
2024-07-10,172.5,172.89,167.02,167.98,41525591
2024-07-11,170.0,170.95,168.67,168.92,33987236
2024-07-12,170.2,170.39,168.01,168.69,33311402
2024-07-15,168.69,168.99,165.8,166.76,32635187
2024-07-16,167.8,169.82,166.7,167.07,26506026
2024-07-18,167.61,167.61,164.44,166.36,36568852
2024-07-19,166.0,166.09,157.2,157.77,77987514
2024-07-22,158.4,160.7,156.41,160.32,40353690
2024-07-23,161.6,161.97,155.0,160.02,37077411
2024-07-24,160.02,162.02,159.19,160.31,28086566
2024-07-25,158.5,158.5,156.9,157.39,45155876
2024-07-26,158.75,162.95,158.21,162.55,45642032
2024-07-29,164.7,164.7,162.33,162.87,31754833
2024-07-30,162.9,165.3,161.31,164.07,42824600
2024-07-31,166.29,166.5,163.55,165.33,52769925
2024-08-01,168.2,168.95,160.9,163.06,118341338
2024-08-02,161.0,161.19,154.72,158.22,72427529
2024-08-05,153.66,154.0,149.0,149.82,102883971
2024-08-06,151.21,153.8,149.61,150.32,53507102
2024-08-07,153.7,154.3,151.9,153.86,32029697
2024-08-08,153.4,153.44,150.0,150.28,51858615
2024-08-09,153.0,153.0,151.25,151.81,23290101
2024-08-12,151.0,153.4,149.88,152.06,30550334
2024-08-13,152.1,152.95,148.5,148.88,29396493
2024-08-14,149.9,149.9,142.35,146.17,97911180
2024-08-16,148.0,150.0,146.46,149.52,54131721
2024-08-19,150.85,154.3,150.39,153.96,62889770
2024-08-20,155.7,155.7,152.8,153.93,37559016
2024-08-21,153.0,154.18,151.77,151.92,49749381
2024-08-22,152.51,154.35,152.51,154.14,36719176
2024-08-23,154.0,154.39,152.55,154.2,31490857
2024-08-26,154.61,156.4,153.7,155.7,32497603
2024-08-27,155.8,156.5,154.6,154.7,24523684
2024-08-28,154.7,155.0,153.05,153.7,25195197
2024-08-29,153.21,153.56,151.2,152.97,44452983
2024-08-30,153.0,155.25,152.47,152.76,55134023
2024-09-02,153.9,153.9,152.14,152.88,19200143
2024-09-03,152.84,153.45,152.01,152.15,19780066
2024-09-04,149.5,152.18,149.16,151.18,39613696
2024-09-05,151.0,152.79,151.0,151.72,28347324
2024-09-06,151.94,152.9,149.65,151.22,30709532
2024-09-09,150.9,150.9,148.05,149.47,32624586
2024-09-10,150.5,151.59,148.81,149.42,41607844
2024-09-11,149.9,150.2,147.62,148.17,24633287
2024-09-12,152.0,152.44,148.75,151.74,73191476
2024-09-13,152.78,155.4,152.5,153.49,54894255
2024-09-16,155.0,155.66,153.5,154.21,32575460
2024-09-17,154.0,154.24,152.27,152.82,18275113
2024-09-18,152.4,152.98,149.61,150.6,24856345
2024-09-19,151.89,152.19,147.79,149.54,36913781
2024-09-20,151.0,153.34,150.65,152.02,53873369
2024-09-23,154.38,154.39,152.8,153.99,33281905
2024-09-24,155.15,161.5,154.85,160.53,137414352
2024-09-25,161.5,162.69,159.52,161.66,58044967
2024-09-26,162.0,165.9,160.48,165.61,88661662
2024-09-27,167.0,169.01,165.89,166.55,72795668
2024-09-30,167.5,170.18,167.26,168.55,92381529
2024-10-01,169.49,169.49,165.1,167.03,50761579
2024-10-03,165.5,169.99,164.52,166.98,75959797
2024-10-04,167.0,169.1,164.0,166.75,53880875
2024-10-07,167.1,167.95,162.33,164.36,48775098
2024-10-08,163.0,163.59,156.7,159.52,74956764
2024-10-09,159.52,162.2,158.11,159.06,42766218
2024-10-10,158.3,161.18,156.6,159.72,46507936
2024-10-11,159.3,163.78,159.2,160.66,53263433
2024-10-14,161.88,163.38,158.04,158.32,35566857
2024-10-15,159.5,159.53,155.05,155.63,38964393
2024-10-16,155.19,156.55,154.02,155.24,28518262
2024-10-17,155.65,156.3,152.1,152.4,28404223
2024-10-18,152.4,156.2,151.1,155.39,34750795
2024-10-21,156.1,157.93,154.59,155.03,25799090
2024-10-22,154.9,154.9,150.1,150.39,39079846
